"survey","round","iso_code3","country","country_year","year","year_uis","year_wide_old"
"DHS","","AFG","Afghanistan","Afghanistan_2015",2015,2015,NA
"DHS","","ALB","Albania","Albania_2008",2009,2009,NA
"DHS","","AGO","Angola","Angola_2015",2015,2015,NA
"DHS","","ARM","Armenia","Armenia_2000",2000,2000,NA
"DHS","","ARM","Armenia","Armenia_2005",2005,2006,NA
"DHS","","ARM","Armenia","Armenia_2010",2010,2011,NA
"DHS","","ARM","Armenia","Armenia_2015",2016,2016,NA
"DHS","","AZE","Azerbaijan","Azerbaijan_2006",2006,2006,NA
"DHS","","BGD","Bangladesh","Bangladesh_1999",2000,2000,NA
"DHS","","BGD","Bangladesh","Bangladesh_2004",2004,2004,NA
"DHS","","BGD","Bangladesh","Bangladesh_2007",2007,2006,NA
"DHS","","BGD","Bangladesh","Bangladesh_2011",2011,2011,NA
"DHS","","BGD","Bangladesh","Bangladesh_2014",2014,2014,NA
"DHS","","BEN","Benin","Benin_2001",2001,2001,NA
"DHS","","BEN","Benin","Benin_2006",2006,2006,NA
"DHS","","BEN","Benin","Benin_2011",2012,2011,NA
"DHS","","BOL","BoliviaPS","BoliviaPS_2003",2003,2003,NA
"DHS","","BOL","BoliviaPS","BoliviaPS_2008",2008,2008,NA
"DHS","","BFA","BurkinaFaso","BurkinaFaso_2003",2003,2003,NA
"DHS","","BFA","BurkinaFaso","BurkinaFaso_2010",2010,2010,NA
"DHS","","BDI","Burundi","Burundi_2010",2010,2010,NA
"DHS","","KHM","Cambodia","Cambodia_2000",2000,2000,NA
"DHS","","KHM","Cambodia","Cambodia_2005",2005,2005,NA
"DHS","","KHM","Cambodia","Cambodia_2010",2010,2010,NA
"DHS","","KHM","Cambodia","Cambodia_2014",2014,2014,NA
"DHS","","CMR","Cameroon","Cameroon_2004",2004,2004,NA
"DHS","","CMR","Cameroon","Cameroon_2011",2011,2011,NA
"DHS","","TCD","Chad","Chad_2004",2004,2004,NA
"DHS","","TCD","Chad","Chad_2014",2015,2014,NA
"DHS","","COL","Colombia","Colombia_2000",2000,2000,NA
"DHS","","COL","Colombia","Colombia_2005",2005,2005,NA
"DHS","","COL","Colombia","Colombia_2010",2010,2010,NA
"DHS","","COL","Colombia","Colombia_2015",2015,2015,NA
"DHS","","COM","Comoros","Comoros_2012",2012,2012,NA
"DHS","","COG","Congo","Congo_2005",2005,2005,NA
"DHS","","COG","Congo","Congo_2011",2011,2012,NA
"DHS","","CIV","CotedIvoire","CotedIvoire_2011",2012,2012,NA
"DHS","","DOM","DominicanRepublic","DominicanRepublic_2002",2002,2002,NA
"DHS","","DOM","DominicanRepublic","DominicanRepublic_2007",2007,2007,NA
"DHS","","DOM","DominicanRepublic","DominicanRepublic_2013",2013,2013,NA
