Dataflow,STAT_UNIT,UNIT_MEASURE,EDU_LEVEL,EDU_CAT,SEX,AGE,GRADE,SECTOR_EDU,EDU_ATTAIN,WEALTH_QUINTILE,LOCATION,EDU_TYPE,EDU_FIELD,SUBJECT,INFRASTR,SE_BKGRD,TEACH_EXPERIENCE,CONTRACT_TYPE,COUNTRY_ORIGIN,REGION_DEST,IMM_STATUS,REF_AREA,TIME_PERIOD,OBS_VALUE,UNIT_MULT,OBS_STATUS,FREQ,DECIMALS
UNESCO:EDU_NON_FINANCE(3.0),CR,PT,L3,_T,_T,_T,GLAST,INST_T,_Z,_T,_T,_T,_T,_Z,_Z,_Z,_Z,_Z,W00,W00,_Z,AF,2011,13.71896,0,A,A,5
UNESCO:EDU_NON_FINANCE(3.0),CR,PT,L3,_T,_T,_T,GLAST,INST_T,_Z,_T,_T,_T,_T,_Z,_Z,_Z,_Z,_Z,W00,W00,_Z,AF,2015,24.07906,0,A,A,5
UNESCO:EDU_NON_FINANCE(3.0),CR,PT,L3,_T,_T,_T,GLAST,INST_T,_Z,_T,_T,_T,_T,_Z,_Z,_Z,_Z,_Z,W00,W00,_Z,AL,2000,46.58000,0,A,A,5
UNESCO:EDU_NON_FINANCE(3.0),CR,PT,L3,_T,_T,_T,GLAST,INST_T,_Z,_T,_T,_T,_T,_Z,_Z,_Z,_Z,_Z,W00,W00,_Z,AL,2005,46.95000,0,A,A,5
UNESCO:EDU_NON_FINANCE(3.0),CR,PT,L3,_T,_T,_T,GLAST,INST_T,_Z,_T,_T,_T,_T,_Z,_Z,_Z,_Z,_Z,W00,W00,_Z,AL,2009,48.16764,0,A,A,5
UNESCO:EDU_NON_FINANCE(3.0),CR,PT,L3,_T,_T,_T,GLAST,INST_T,_Z,_T,_T,_T,_T,_Z,_Z,_Z,_Z,_Z,W00,W00,_Z,AL,2017,80.31211,0,A,A,5
UNESCO:EDU_NON_FINANCE(3.0),CR,PT,L3,_T,_T,_T,GLAST,INST_T,_Z,_T,_T,_T,_T,_Z,_Z,_Z,_Z,_Z,W00,W00,_Z,AM,2000,85.05000,0,A,A,5
UNESCO:EDU_NON_FINANCE(3.0),CR,PT,L3,_T,_T,_T,GLAST,INST_T,_Z,_T,_T,_T,_T,_Z,_Z,_Z,_Z,_Z,W00,W00,_Z,AM,2006,35.45338,0,A,A,5
UNESCO:EDU_NON_FINANCE(3.0),CR,PT,L3,_T,_T,_T,GLAST,INST_T,_Z,_T,_T,_T,_T,_Z,_Z,_Z,_Z,_Z,W00,W00,_Z,AM,2011,93.04728,0,A,A,5
UNESCO:EDU_NON_FINANCE(3.0),CR,PT,L3,_T,_T,_T,GLAST,INST_T,_Z,_T,_T,_T,_T,_Z,_Z,_Z,_Z,_Z,W00,W00,_Z,AM,2016,64.70735,0,A,A,5
UNESCO:EDU_NON_FINANCE(3.0),CR,PT,L3,_T,_T,_T,GLAST,INST_T,_Z,_T,_T,_T,_T,_Z,_Z,_Z,_Z,_Z,W00,W00,_Z,AO,2015,18.81837,0,A,A,5
UNESCO:EDU_NON_FINANCE(3.0),CR,PT,L3,_T,_T,_T,GLAST,INST_T,_Z,_T,_T,_T,_T,_Z,_Z,_Z,_Z,_Z,W00,W00,_Z,AR,2010,54.98767,0,A,A,5
UNESCO:EDU_NON_FINANCE(3.0),CR,PT,L3,_T,_T,_T,GLAST,INST_T,_Z,_T,_T,_T,_T,_Z,_Z,_Z,_Z,_Z,W00,W00,_Z,AT,2005,86.81000,0,A,A,5
UNESCO:EDU_NON_FINANCE(3.0),CR,PT,L3,_T,_T,_T,GLAST,INST_T,_Z,_T,_T,_T,_T,_Z,_Z,_Z,_Z,_Z,W00,W00,_Z,AT,2011,85.21000,0,A,A,5
