"category","total","hh_edu1","hh_edu2","hh_edu3","hh_edu4","hh_edu5","hh_edu6","comp_prim_v2_mean","comp_lowsec_v2_mean","comp_upsec_v2_mean"
"hh_edu1",NA,0,NA,NA,NA,NA,NA,0,0,0
"hh_edu1",NA,1,NA,NA,NA,NA,NA,0.712866724014741,0.352927822950179,0.144044371803573
"hh_edu1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"hh_edu2",NA,NA,0,NA,NA,NA,NA,0.424498040114232,0,0
"hh_edu2",NA,NA,1,NA,NA,NA,NA,0.768447551564066,0.601882918934966,0.238559167053301
"hh_edu2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"hh_edu3",NA,NA,NA,0,NA,NA,NA,0.170941523997443,0.048780193812443,0.00539409883680604
"hh_edu3",NA,NA,NA,1,NA,NA,NA,0.719397696913781,0.3665663032658,0.155007195421002
"hh_edu3",NA,NA,NA,NA,NA,NA,NA,0.484801414441897,0.384481595364414,0.143425160166017
"hh_edu4",NA,NA,NA,NA,0,NA,NA,0.318457124442985,0.132599039665057,0.0349301030457553
"hh_edu4",NA,NA,NA,NA,1,NA,NA,0.771101812853451,0.389085126705299,0.153073491668804
"hh_edu4",NA,NA,NA,NA,NA,NA,NA,0.672488911994061,0.480576883050413,0.265297694094068
"hh_edu5",NA,NA,NA,NA,NA,0,NA,0.457509650773371,0.054756048215846,0.0108349059551209
"hh_edu5",NA,NA,NA,NA,NA,1,NA,0.759173668680982,0.596924122701841,0.242643931391848
"hh_edu5",NA,NA,NA,NA,NA,NA,NA,0.484801414441897,0.384481595364414,0.143425160166017
"hh_edu6",NA,NA,NA,NA,NA,NA,0,0.488520003027496,0.152760793549273,0.0379155217098995
"hh_edu6",NA,NA,NA,NA,NA,NA,1,0.828048849176854,0.707453277907969,0.302932073208608
"hh_edu6",NA,NA,NA,NA,NA,NA,NA,0.672488911994061,0.480576883050413,0.265297694094068
"Total","Total",NA,NA,NA,NA,NA,NA,0.543247155340433,0.278469043658015,0.099846709072063
