survey_uis,iso_code3,country,year_uis,group,category,comp_prim_uis,comp_lowsec_uis,comp_upsec_uis,metadata,note_source
MICS,AFG,Afghanistan,2011,poorest by sex,poorest female,8.2115297,.03159,.39616999,Afghanistan MICS 2010-11. The survey collected data on school attendance for age 5-24 and educational attainment for age 5 and above.,
MICS,AFG,Afghanistan,2011,wealth,quintile 5,67.961639,45.320869,28.42165,Afghanistan MICS 2010-11. The survey collected data on school attendance for age 5-24 and educational attainment for age 5 and above.,
MICS,AFG,Afghanistan,2011,sex,male,53.748932,34.65255,20.627819,Afghanistan MICS 2010-11. The survey collected data on school attendance for age 5-24 and educational attainment for age 5 and above.,
MICS,AFG,Afghanistan,2011,poorest by sex,poorest male,30.98901,14.66348,5.29672,Afghanistan MICS 2010-11. The survey collected data on school attendance for age 5-24 and educational attainment for age 5 and above.,
MICS,AFG,Afghanistan,2011,location,urban,67.489922,44.681122,27.871429,Afghanistan MICS 2010-11. The survey collected data on school attendance for age 5-24 and educational attainment for age 5 and above.,
MICS,AFG,Afghanistan,2011,location,rural,34.424141,18.44479,10.14488,Afghanistan MICS 2010-11. The survey collected data on school attendance for age 5-24 and educational attainment for age 5 and above.,
MICS,AFG,Afghanistan,2011,wealth,quintile 3,33.378201,18.294161,9.4073496,Afghanistan MICS 2010-11. The survey collected data on school attendance for age 5-24 and educational attainment for age 5 and above.,
MICS,AFG,Afghanistan,2011,wealth,quintile 4,47.448261,26.954161,16.13739,Afghanistan MICS 2010-11. The survey collected data on school attendance for age 5-24 and educational attainment for age 5 and above.,
MICS,AFG,Afghanistan,2011,sex,female,26.63788,11.50881,5.5623899,Afghanistan MICS 2010-11. The survey collected data on school attendance for age 5-24 and educational attainment for age 5 and above.,
MICS,AFG,Afghanistan,2011,wealth,quintile 1,20.699089,7.82515,2.9205201,Afghanistan MICS 2010-11. The survey collected data on school attendance for age 5-24 and educational attainment for age 5 and above.,
MICS,AFG,Afghanistan,2011,wealth,quintile 2,26.23514,12.40765,4.48524,Afghanistan MICS 2010-11. The survey collected data on school attendance for age 5-24 and educational attainment for age 5 and above.,
MICS,AFG,Afghanistan,2011,total,total,40.725689,23.377001,13.71896,Afghanistan MICS 2010-11. The survey collected data on school attendance for age 5-24 and educational attainment for age 5 and above.,
DHS,AFG,Afghanistan,2015,wealth,quintile 4,60.14312,38.890541,24.34778,Afghanistan DHS 2015. The survey collected data on school attendance for age 5-24 and educational attainment for age 5 and above.,
DHS,AFG,Afghanistan,2015,location,rural,48.089218,30.7106,17.99436,Afghanistan DHS 2015. The survey collected data on school attendance for age 5-24 and educational attainment for age 5 and above.,
DHS,AFG,Afghanistan,2015,total,total,54.210789,36.95639,24.07906,Afghanistan DHS 2015. The survey collected data on school attendance for age 5-24 and educational attainment for age 5 and above.,
DHS,AFG,Afghanistan,2015,sex,female,40.35416,25.1721,14.99005,Afghanistan DHS 2015. The survey collected data on school attendance for age 5-24 and educational attainment for age 5 and above.,
DHS,AFG,Afghanistan,2015,wealth,quintile 3,43.002239,29.23501,14.54769,Afghanistan DHS 2015. The survey collected data on school attendance for age 5-24 and educational attainment for age 5 and above.,
DHS,AFG,Afghanistan,2015,wealth,quintile 1,44.811642,24.706169,13.12451,Afghanistan DHS 2015. The survey collected data on school attendance for age 5-24 and educational attainment for age 5 and above.,
DHS,AFG,Afghanistan,2015,poorest by sex,poorest male,55.869732,35.927219,20.817039,Afghanistan DHS 2015. The survey collected data on school attendance for age 5-24 and educational attainment for age 5 and above.,
DHS,AFG,Afghanistan,2015,wealth,quintile 5,74.47361,60.71022,45.644199,Afghanistan DHS 2015. The survey collected data on school attendance for age 5-24 and educational attainment for age 5 and above.,
DHS,AFG,Afghanistan,2015,wealth,quintile 2,46.312359,29.322889,15.06574,Afghanistan DHS 2015. The survey collected data on school attendance for age 5-24 and educational attainment for age 5 and above.,
DHS,AFG,Afghanistan,2015,sex,male,67.305687,48.71595,33.521221,Afghanistan DHS 2015. The survey collected data on school attendance for age 5-24 and educational attainment for age 5 and above.,
DHS,AFG,Afghanistan,2015,poorest by sex,poorest female,31.505369,13.22254,5.3028402,Afghanistan DHS 2015. The survey collected data on school attendance for age 5-24 and educational attainment for age 5 and above.,
DHS,AFG,Afghanistan,2015,location,urban,70.758148,54.977669,38.951679,Afghanistan DHS 2015. The survey collected data on school attendance for age 5-24 and educational attainment for age 5 and above.,
DHS,AGO,Angola,2015,wealth,quintile 1,18.656191,4.14921,1.7646101,Angola DHS 2016. The survey collected data on school attendance for age 3-24 and educational attainment for age 3 and above.,
DHS,AGO,Angola,2015,wealth,quintile 4,77.27948,47.56118,20.429411,Angola DHS 2016. The survey collected data on school attendance for age 3-24 and educational attainment for age 3 and above.,
DHS,AGO,Angola,2015,sex,male,63.406639,41.731571,23.66139,Angola DHS 2016. The survey collected data on school attendance for age 3-24 and educational attainment for age 3 and above.,
DHS,AGO,Angola,2015,poorest by sex,poorest male,20.772739,5.1775498,2.2866001,Angola DHS 2016. The survey collected data on school attendance for age 3-24 and educational attainment for age 3 and above.,
DHS,AGO,Angola,2015,poorest by sex,poorest female,16.658001,3.4027901,1.35746,Angola DHS 2016. The survey collected data on school attendance for age 3-24 and educational attainment for age 3 and above.,
DHS,AGO,Angola,2015,location,rural,27.05703,9.3044004,4.1150599,Angola DHS 2016. The survey collected data on school attendance for age 3-24 and educational attainment for age 3 and above.,
DHS,AGO,Angola,2015,wealth,quintile 3,61.823421,24.15214,6.0261402,Angola DHS 2016. The survey collected data on school attendance for age 3-24 and educational attainment for age 3 and above.,
DHS,AGO,Angola,2015,location,urban,73.928909,47.33379,24.699619,Angola DHS 2016. The survey collected data on school attendance for age 3-24 and educational attainment for age 3 and above.,
DHS,AGO,Angola,2015,total,total,59.874199,36.477581,18.818371,Angola DHS 2016. The survey collected data on school attendance for age 3-24 and educational attainment for age 3 and above.,
DHS,AGO,Angola,2015,sex,female,56.54213,31.897909,15.30444,Angola DHS 2016. The survey collected data on school attendance for age 3-24 and educational attainment for age 3 and above.,
DHS,AGO,Angola,2015,wealth,quintile 5,88.807213,72.066872,49.91301,Angola DHS 2016. The survey collected data on school attendance for age 3-24 and educational attainment for age 3 and above.,
DHS,AGO,Angola,2015,wealth,quintile 2,30.243731,7.7883701,1.9549299,Angola DHS 2016. The survey collected data on school attendance for age 3-24 and educational attainment for age 3 and above.,
MICS,ALB,Albania,2000,location,rural,95.07,91.419998,36.439999,"Albania MICS 2000. World Inequality Database on Education (WIDE), June 2019.",Taken directly from WIDE
MICS,ALB,Albania,2000,sex,male,94.150002,92.879997,46.77,"Albania MICS 2000. World Inequality Database on Education (WIDE), June 2019.",Taken directly from WIDE
MICS,ALB,Albania,2000,location,urban,95.419998,95.82,67.940002,"Albania MICS 2000. World Inequality Database on Education (WIDE), June 2019.",Taken directly from WIDE
MICS,ALB,Albania,2000,wealth,quintile 5,96.400002,93.660004,59.509998,"Albania MICS 2000. World Inequality Database on Education (WIDE), June 2019.",Taken directly from WIDE
MICS,ALB,Albania,2000,wealth,quintile 2,93.75,90.480003,36.68,"Albania MICS 2000. World Inequality Database on Education (WIDE), June 2019.",Taken directly from WIDE
MICS,ALB,Albania,2000,total,total,95.190002,92.870003,46.580002,"Albania MICS 2000. World Inequality Database on Education (WIDE), June 2019.",Taken directly from WIDE
MICS,ALB,Albania,2000,wealth,quintile 4,95.900002,97.199997,69.470001,"Albania MICS 2000. World Inequality Database on Education (WIDE), June 2019.",Taken directly from WIDE
MICS,ALB,Albania,2000,wealth,quintile 1,93.75,87.519997,29.91,"Albania MICS 2000. World Inequality Database on Education (WIDE), June 2019.",Taken directly from WIDE
MICS,ALB,Albania,2000,wealth,quintile 3,96.559998,95.769997,41.09,"Albania MICS 2000. World Inequality Database on Education (WIDE), June 2019.",Taken directly from WIDE
MICS,ALB,Albania,2000,sex,female,96.25,92.860001,46.400002,"Albania MICS 2000. World Inequality Database on Education (WIDE), June 2019.",Taken directly from WIDE
MICS,ALB,Albania,2005,wealth,quintile 5,99.589996,98.809998,76.730003,"Albania MICS 2005. World Inequality Database on Education (WIDE), June 2019.",Taken directly from WIDE
MICS,ALB,Albania,2005,wealth,quintile 4,98.25,98.75,59.68,"Albania MICS 2005. World Inequality Database on Education (WIDE), June 2019.",Taken directly from WIDE
MICS,ALB,Albania,2005,location,rural,99.220001,97.940002,34.330002,"Albania MICS 2005. World Inequality Database on Education (WIDE), June 2019.",Taken directly from WIDE
MICS,ALB,Albania,2005,sex,male,99.010002,96.209999,47.57,"Albania MICS 2005. World Inequality Database on Education (WIDE), June 2019.",Taken directly from WIDE
MICS,ALB,Albania,2005,sex,female,98.809998,98.040001,46.349998,"Albania MICS 2005. World Inequality Database on Education (WIDE), June 2019.",Taken directly from WIDE
MICS,ALB,Albania,2005,wealth,quintile 2,98.93,96.18,31.5,"Albania MICS 2005. World Inequality Database on Education (WIDE), June 2019.",Taken directly from WIDE
MICS,ALB,Albania,2005,wealth,quintile 3,98.029999,95.5,52.52,"Albania MICS 2005. World Inequality Database on Education (WIDE), June 2019.",Taken directly from WIDE
MICS,ALB,Albania,2005,wealth,quintile 1,99.660004,96.519997,16.57,"Albania MICS 2005. World Inequality Database on Education (WIDE), June 2019.",Taken directly from WIDE
MICS,ALB,Albania,2005,location,urban,98.309998,95.510002,67.019997,"Albania MICS 2005. World Inequality Database on Education (WIDE), June 2019.",Taken directly from WIDE
MICS,ALB,Albania,2005,total,total,98.910004,97.089996,46.950001,"Albania MICS 2005. World Inequality Database on Education (WIDE), June 2019.",Taken directly from WIDE
DHS,ALB,Albania,2009,total,total,98.190742,64.520683,48.167641,Albania DHS 2008-09. The survey collected data on school attendance for age 6-24 and educational attainment for age 6 and above.,
DHS,ALB,Albania,2009,poorest by sex,poorest male,96.901657,42.76228,19.312149,Albania DHS 2008-09. The survey collected data on school attendance for age 6-24 and educational attainment for age 6 and above.,
DHS,ALB,Albania,2009,wealth,quintile 2,98.476624,57.40649,25.952921,Albania DHS 2008-09. The survey collected data on school attendance for age 6-24 and educational attainment for age 6 and above.,
DHS,ALB,Albania,2009,wealth,quintile 3,98.879784,65.682747,35.899849,Albania DHS 2008-09. The survey collected data on school attendance for age 6-24 and educational attainment for age 6 and above.,
DHS,ALB,Albania,2009,wealth,quintile 5,99.380959,92.135696,88.804657,Albania DHS 2008-09. The survey collected data on school attendance for age 6-24 and educational attainment for age 6 and above.,
DHS,ALB,Albania,2009,location,urban,97.819237,82.816299,72.520981,Albania DHS 2008-09. The survey collected data on school attendance for age 6-24 and educational attainment for age 6 and above.,
DHS,ALB,Albania,2009,wealth,quintile 4,97.926407,76.706223,64.430656,Albania DHS 2008-09. The survey collected data on school attendance for age 6-24 and educational attainment for age 6 and above.,
DHS,ALB,Albania,2009,location,rural,98.431129,53.084011,26.50745,Albania DHS 2008-09. The survey collected data on school attendance for age 6-24 and educational attainment for age 6 and above.,
DHS,ALB,Albania,2009,poorest by sex,poorest female,96.600807,36.819832,13.38502,Albania DHS 2008-09. The survey collected data on school attendance for age 6-24 and educational attainment for age 6 and above.,
DHS,ALB,Albania,2009,wealth,quintile 1,96.757233,39.53157,16.059311,Albania DHS 2008-09. The survey collected data on school attendance for age 6-24 and educational attainment for age 6 and above.,
DHS,ALB,Albania,2009,sex,male,98.467018,67.665337,50.53838,Albania DHS 2008-09. The survey collected data on school attendance for age 6-24 and educational attainment for age 6 and above.,
DHS,ALB,Albania,2009,sex,female,97.921959,61.345409,45.948238,Albania DHS 2008-09. The survey collected data on school attendance for age 6-24 and educational attainment for age 6 and above.,
DHS,ALB,Albania,2017,wealth,quintile 5,97.997787,99.380669,96.777901,Albania DHS 2017-18. The survey collected data on school attendance for age 6-24 and educational attainment for age 6 and above.,
DHS,ALB,Albania,2017,poorest by sex,poorest male,90.737602,88.504608,59.844608,Albania DHS 2017-18. The survey collected data on school attendance for age 6-24 and educational attainment for age 6 and above.,
DHS,ALB,Albania,2017,wealth,quintile 4,94.330681,97.092018,88.442619,Albania DHS 2017-18. The survey collected data on school attendance for age 6-24 and educational attainment for age 6 and above.,
DHS,ALB,Albania,2017,sex,male,94.196297,93.277924,78.936462,Albania DHS 2017-18. The survey collected data on school attendance for age 6-24 and educational attainment for age 6 and above.,
DHS,ALB,Albania,2017,location,rural,93.143967,93.02137,72.473557,Albania DHS 2017-18. The survey collected data on school attendance for age 6-24 and educational attainment for age 6 and above.,
DHS,ALB,Albania,2017,wealth,quintile 1,93.351967,87.291977,59.959469,Albania DHS 2017-18. The survey collected data on school attendance for age 6-24 and educational attainment for age 6 and above.,
DHS,ALB,Albania,2017,location,urban,96.330818,94.061996,85.171806,Albania DHS 2017-18. The survey collected data on school attendance for age 6-24 and educational attainment for age 6 and above.,
DHS,ALB,Albania,2017,wealth,quintile 3,95.785431,93.088837,79.32814,Albania DHS 2017-18. The survey collected data on school attendance for age 6-24 and educational attainment for age 6 and above.,
DHS,ALB,Albania,2017,wealth,quintile 2,93.549507,91.223869,73.121063,Albania DHS 2017-18. The survey collected data on school attendance for age 6-24 and educational attainment for age 6 and above.,
DHS,ALB,Albania,2017,total,total,94.956848,93.655411,80.312111,Albania DHS 2017-18. The survey collected data on school attendance for age 6-24 and educational attainment for age 6 and above.,
DHS,ALB,Albania,2017,sex,female,95.732231,94.037086,81.867493,Albania DHS 2017-18. The survey collected data on school attendance for age 6-24 and educational attainment for age 6 and above.,
DHS,ALB,Albania,2017,poorest by sex,poorest female,95.874336,85.95092,60.108921,Albania DHS 2017-18. The survey collected data on school attendance for age 6-24 and educational attainment for age 6 and above.,
IPUMS-International,ARG,Argentina,2010,total,total,92.262962,74.098152,54.987671,"Argentina Households and Dwellings Census 2010. IPUMS-International, National Institute of Statistics and Censuses, National Population.",
IPUMS-International,ARG,Argentina,2010,sex,female,93.461823,78.253197,60.506241,"Argentina Households and Dwellings Census 2010. IPUMS-International, National Institute of Statistics and Censuses, National Population.",
IPUMS-International,ARG,Argentina,2010,sex,male,91.088966,70.019699,49.432949,"Argentina Households and Dwellings Census 2010. IPUMS-International, National Institute of Statistics and Censuses, National Population.",
DHS,ARM,Armenia,2000,sex,male,98.68,97.989998,80.220001,"Armenia DHS 2000. World Inequality Database on Education (WIDE), June 2019.",Taken directly from WIDE
DHS,ARM,Armenia,2000,location,rural,98.5,97.400002,75.459999,"Armenia DHS 2000. World Inequality Database on Education (WIDE), June 2019.",Taken directly from WIDE
DHS,ARM,Armenia,2000,total,total,99.050003,98.489998,85.050003,"Armenia DHS 2000. World Inequality Database on Education (WIDE), June 2019.",Taken directly from WIDE
DHS,ARM,Armenia,2000,location,urban,99.5,99.339996,91.57,"Armenia DHS 2000. World Inequality Database on Education (WIDE), June 2019.",Taken directly from WIDE
DHS,ARM,Armenia,2000,sex,female,99.43,98.959999,89.480003,"Armenia DHS 2000. World Inequality Database on Education (WIDE), June 2019.",Taken directly from WIDE
