survey,iso_code3,country,year,group,category,comp_prim_v2_m,comp_lowsec_v2_m,comp_upsec_v2_m
MICS,AFG,Afghanistan,2011,location,rural,35.2457389831543,17.43743133544922,10.37398052215576
MICS,AFG,Afghanistan,2011,location,urban,67.48513793945313,44.68538284301758,27.87143325805664
MICS,AFG,Afghanistan,2011,poorest by sex,poorest female,8.04295825958252,.0285930726677179,.4096636474132538
MICS,AFG,Afghanistan,2011,poorest by sex,poorest male,32.43263244628906,13.5992956161499,5.63054084777832
MICS,AFG,Afghanistan,2011,sex,female,27.20146751403809,10.73726081848145,5.700477123260498
MICS,AFG,Afghanistan,2011,sex,male,54.46671295166016,33.12214279174805,20.95137977600098
MICS,AFG,Afghanistan,2011,total,total,41.46379089355469,22.21929931640625,13.97854995727539
MICS,AFG,Afghanistan,2011,wealth,quintile 1,21.28899192810059,7.279092788696289,3.154652833938599
MICS,AFG,Afghanistan,2011,wealth,quintile 2,27.31973266601563,11.64265823364258,4.818280696868897
MICS,AFG,Afghanistan,2011,wealth,quintile 3,34.22378540039063,17.70328330993652,9.704990386962891
MICS,AFG,Afghanistan,2011,wealth,quintile 4,47.61481094360352,25.56006050109863,16.30499458312988
MICS,AFG,Afghanistan,2011,wealth,quintile 5,68.62837982177734,45.14735794067383,28.69140243530273
DHS,AFG,Afghanistan,2015,location,rural,48.36111831665039,30.35468673706055,16.75594711303711
DHS,AFG,Afghanistan,2015,location,urban,72.21916198730469,56.30906295776367,39.85864639282227
DHS,AFG,Afghanistan,2015,poorest by sex,poorest female,30.65038871765137,13.24300289154053,4.426807403564453
DHS,AFG,Afghanistan,2015,poorest by sex,poorest male,57.38519287109375,38.12652969360352,19.8390007019043
DHS,AFG,Afghanistan,2015,sex,female,38.98532104492188,24.51455879211426,14.94534587860107
DHS,AFG,Afghanistan,2015,sex,male,69.89036560058594,50.02241897583008,32.25052642822266
DHS,AFG,Afghanistan,2015,total,total,54.69992828369141,37.21771621704102,23.37116813659668
DHS,AFG,Afghanistan,2015,wealth,quintile 1,44.52291870117188,25.96513366699219,12.11375522613525
DHS,AFG,Afghanistan,2015,wealth,quintile 2,46.15352630615234,28.25192832946777,12.99128532409668
DHS,AFG,Afghanistan,2015,wealth,quintile 3,44.36564636230469,27.52962493896484,14.40866279602051
DHS,AFG,Afghanistan,2015,wealth,quintile 4,59.28818130493164,38.64309310913086,23.39303016662598
DHS,AFG,Afghanistan,2015,wealth,quintile 5,76.75301361083984,61.81381225585938,46.01691055297852
DHS,AGO,Angola,2015,location,rural,26.95712089538574,9.243570327758789,3.590213775634766
DHS,AGO,Angola,2015,location,urban,73.58686065673828,47.29063415527344,24.64648056030273
DHS,AGO,Angola,2015,poorest by sex,poorest female,16.46740913391113,3.210158586502075,.7600098848342896
DHS,AGO,Angola,2015,poorest by sex,poorest male,20.61283302307129,5.177547931671143,2.286604881286621
DHS,AGO,Angola,2015,sex,female,56.33806610107422,31.80769157409668,15.10540676116943
DHS,AGO,Angola,2015,sex,male,63.06787872314453,41.7315673828125,23.48880767822266
DHS,AGO,Angola,2015,total,total,59.60475921630859,36.42938232421875,18.63046455383301
DHS,AGO,Angola,2015,wealth,quintile 1,18.48049545288086,4.037593841552734,1.428965210914612
DHS,AGO,Angola,2015,wealth,quintile 2,30.24372673034668,7.788367748260498,1.457922339439392
DHS,AGO,Angola,2015,wealth,quintile 3,61.47851181030273,23.99416542053223,5.796614646911621
DHS,AGO,Angola,2015,wealth,quintile 4,76.51398468017578,47.56118011474609,20.42941093444824
DHS,AGO,Angola,2015,wealth,quintile 5,88.80721282958984,72.06687164306641,49.91300964355469
MICS,ALB,Albania,2000,location,rural,95.07297515869141,91.41885375976563,36.44206237792969
MICS,ALB,Albania,2000,location,urban,95.41548156738281,95.81641387939453,67.94353485107422
MICS,ALB,Albania,2000,poorest by sex,poorest female,96.88706207275391,83.45203399658203,23.29660415649414
MICS,ALB,Albania,2000,poorest by sex,poorest male,90.720947265625,92.17375946044922,34.86355209350586
MICS,ALB,Albania,2000,sex,female,96.24905395507813,92.86420440673828,46.39577102661133
MICS,ALB,Albania,2000,sex,male,94.14824676513672,92.88198852539063,46.77203750610352
MICS,ALB,Albania,2000,total,total,95.19021606445313,92.87313079833984,46.58109664916992
MICS,ALB,Albania,2000,wealth,quintile 1,93.75145721435547,87.52459716796875,29.90508079528809
MICS,ALB,Albania,2000,wealth,quintile 2,93.75296020507813,90.48269653320313,36.6810188293457
MICS,ALB,Albania,2000,wealth,quintile 3,96.55810546875,95.770751953125,41.08945083618164
MICS,ALB,Albania,2000,wealth,quintile 4,95.89533233642578,97.20033264160156,69.46741485595703
MICS,ALB,Albania,2000,wealth,quintile 5,96.4031982421875,93.66194915771484,59.50827026367188
MICS,ALB,Albania,2005,location,rural,99.21934509277344,97.94370269775391,34.33049774169922
MICS,ALB,Albania,2005,location,urban,98.31025695800781,95.51036071777344,67.01509857177734
MICS,ALB,Albania,2005,poorest by sex,poorest female,99.32435607910156,98.94505310058594,14.30467987060547
MICS,ALB,Albania,2005,poorest by sex,poorest male,100,94.179443359375,19.04491424560547
MICS,ALB,Albania,2005,sex,female,98.81259155273438,98.03728485107422,46.35246658325195
MICS,ALB,Albania,2005,sex,male,99.00951385498047,96.21041870117188,47.56592559814453
MICS,ALB,Albania,2005,total,total,98.91217041015625,97.08875274658203,46.94885635375977
MICS,ALB,Albania,2005,wealth,quintile 1,99.66339874267578,96.52131652832031,16.57294273376465
MICS,ALB,Albania,2005,wealth,quintile 2,98.93380737304688,96.17774200439453,31.4969596862793
MICS,ALB,Albania,2005,wealth,quintile 3,98.02989959716797,95.50131225585938,52.52392196655273
MICS,ALB,Albania,2005,wealth,quintile 4,98.2451171875,98.74645233154297,59.68130111694336
MICS,ALB,Albania,2005,wealth,quintile 5,99.59500122070313,98.81146240234375,76.73009490966797
DHS,ALB,Albania,2009,location,rural,98.02585601806641,96.18703460693359,26.5074520111084
DHS,ALB,Albania,2009,location,urban,98.22443389892578,96.63704681396484,72.52098083496094
DHS,ALB,Albania,2009,poorest by sex,poorest female,95.43782806396484,93.71551513671875,13.38501739501953
DHS,ALB,Albania,2009,poorest by sex,poorest male,96.46481323242188,93.6494140625,19.31215286254883
DHS,ALB,Albania,2009,sex,female,97.84467315673828,96.47563934326172,45.9482421875
DHS,ALB,Albania,2009,sex,male,98.35990142822266,96.24335479736328,50.53837966918945
DHS,ALB,Albania,2009,total,total,98.10636901855469,96.36051940917969,48.16764068603516
DHS,ALB,Albania,2009,wealth,quintile 1,95.98243713378906,93.68566131591797,16.05931282043457
DHS,ALB,Albania,2009,wealth,quintile 2,98.97967529296875,95.86963653564453,25.95291709899902
DHS,ALB,Albania,2009,wealth,quintile 3,98.7698974609375,97.24124908447266,35.89984893798828
DHS,ALB,Albania,2009,wealth,quintile 4,98.98052978515625,97.33519744873047,64.43065643310547
DHS,ALB,Albania,2009,wealth,quintile 5,98.35731506347656,98.55408477783203,88.80466461181641
DHS,ALB,Albania,2017,location,rural,89.39225769042969,94.03562927246094,74.48342895507813
DHS,ALB,Albania,2017,location,urban,94.03411102294922,93.39335632324219,85.74901580810547
DHS,ALB,Albania,2017,poorest by sex,poorest female,91.67951965332031,88.92932891845703,63.35601043701172
DHS,ALB,Albania,2017,poorest by sex,poorest male,83.77822113037109,90.68890380859375,61.37509918212891
DHS,ALB,Albania,2017,sex,female,92.56031799316406,93.64028930664063,82.15607452392578
DHS,ALB,Albania,2017,sex,male,91.51947784423828,93.68258666992188,80.67740631103516
DHS,ALB,Albania,2017,total,total,92.00784301757813,93.66036987304688,81.36129760742188
DHS,ALB,Albania,2017,wealth,quintile 1,87.33636474609375,89.80449676513672,62.19437789916992
DHS,ALB,Albania,2017,wealth,quintile 2,90.68185424804688,91.69937896728516,74.9326171875
DHS,ALB,Albania,2017,wealth,quintile 3,93.5958251953125,92.81670379638672,81.66014862060547
DHS,ALB,Albania,2017,wealth,quintile 4,91.81119537353516,96.15463256835938,89.57029724121094
DHS,ALB,Albania,2017,wealth,quintile 5,97.632080078125,98.4208984375,95.44460296630859
EPH,ARG,Argentina,2004,poorest by sex,poorest female,96.06717999999999,55.32374,39.91038
EPH,ARG,Argentina,2004,poorest by sex,poorest male,92.87735000000001,43.374,25.19428
EPH,ARG,Argentina,2004,sex,female,97.62561,70.62257,65.81544000000001
EPH,ARG,Argentina,2004,sex,male,96.17455,61.64983000000001,57.97654
EPH,ARG,Argentina,2004,total,total,96.89137,66.10034999999999,61.90628
EPH,ARG,Argentina,2004,wealth,quintile 1,94.43127,49.45027,32.90275
EPH,ARG,Argentina,2004,wealth,quintile 2,96.08232,60.12108000000001,55.07805
EPH,ARG,Argentina,2004,wealth,quintile 3,98.13403000000001,71.96922000000001,64.79529000000001
EPH,ARG,Argentina,2004,wealth,quintile 4,99.13106999999999,77.96239,80.46938
EPH,ARG,Argentina,2004,wealth,quintile 5,98.57430000000001,81.95739,84.88548
EPH,ARG,Argentina,2012,poorest by sex,poorest female,95.95405,70.22608,51.07605
EPH,ARG,Argentina,2012,poorest by sex,poorest male,94.75827,57.22883,37.91194
EPH,ARG,Argentina,2012,sex,female,97.19982,80.11835000000001,72.08601999999999
EPH,ARG,Argentina,2012,sex,male,96.20127000000001,69.85374,59.79329
EPH,ARG,Argentina,2012,total,total,96.68831,74.95340999999999,65.94774
EPH,ARG,Argentina,2012,wealth,quintile 1,95.32491,63.74457,44.089
EPH,ARG,Argentina,2012,wealth,quintile 2,96.60640000000001,71.19386,62.19293999999999
EPH,ARG,Argentina,2012,wealth,quintile 3,96.74629999999999,79.52546000000001,70.12675
EPH,ARG,Argentina,2012,wealth,quintile 4,97.84099000000001,80.79283000000001,77.26138999999999
EPH,ARG,Argentina,2012,wealth,quintile 5,98.55145,88.97827000000001,81.64062
DHS,ARM,Armenia,2000,location,rural,98.49725341796875,97.39654541015625,75.45538330078125
DHS,ARM,Armenia,2000,location,urban,99.49771881103516,99.34232330322266,91.56525421142578
DHS,ARM,Armenia,2000,sex,female,99.43209075927734,98.9603271484375,89.47681427001953
DHS,ARM,Armenia,2000,sex,male,98.68417358398438,97.98631286621094,80.22360992431641
DHS,ARM,Armenia,2000,total,total,99.04924011230469,98.49376678466797,85.04598236083984
DHS,ARM,Armenia,2005,location,rural,99.15628814697266,82.49474334716797,64.01660919189453
DHS,ARM,Armenia,2005,location,urban,99.68670654296875,83.62154388427734,69.35588836669922
DHS,ARM,Armenia,2005,poorest by sex,poorest female,100,77.50938415527344,51.28485488891602
DHS,ARM,Armenia,2005,poorest by sex,poorest male,96.59850311279297,82.88327026367188,55.55191040039063
DHS,ARM,Armenia,2005,sex,female,100,77.81143951416016,63.97554779052734
DHS,ARM,Armenia,2005,sex,male,98.90805816650391,90.05695343017578,72.52864074707031
DHS,ARM,Armenia,2005,total,total,99.45461273193359,83.19586181640625,67.43696594238281
DHS,ARM,Armenia,2005,wealth,quintile 1,98.24188995361328,80.05388641357422,53.3400764465332
DHS,ARM,Armenia,2005,wealth,quintile 2,100,78.35124206542969,63.15612030029297
DHS,ARM,Armenia,2005,wealth,quintile 3,99.65773010253906,83.27437591552734,64.43782806396484
DHS,ARM,Armenia,2005,wealth,quintile 4,100,81.95033264160156,71.23678588867188
DHS,ARM,Armenia,2005,wealth,quintile 5,99.74967193603516,91.07351684570313,80.36347961425781
DHS,ARM,Armenia,2010,location,rural,99.70874786376953,98.281494140625,90.48442077636719
DHS,ARM,Armenia,2010,location,urban,100,99.89251708984375,94.90079498291016
