survey,country_year,year,comp_prim_v2,comp_lowsec_v2,comp_upsec_v2,flag_comp,result_comp,diff_comp_prim,diff_comp_lowsec,diff_comp_upsec,eduout_prim,eduout_lowsec,eduout_upsec,flag_eduout,result_eduout,diff_eduout_prim,diff_eduout_lowsec,diff_eduout_upsec,iso_code3,country,category,location,sex,wealth,region,ethnicity,religion,comp_prim_1524,comp_lowsec_1524,comp_upsec_2029,eduyears_2024,edu2_2024,edu4_2024,comp_prim_v2_no,comp_lowsec_v2_no,comp_upsec_v2_no,comp_prim_1524_no,comp_lowsec_1524_no,comp_upsec_2029_no,eduyears_2024_no,edu2_2024_no,edu4_2024_no,eduout_prim_no,eduout_lowsec_no,eduout_upsec_no,year_uis,round,comp_prim_uis,comp_lowsec_uis,comp_upsec_uis,eduout_prim_uis,eduout_lowsec_uis,eduout_upsec_uis,uisreferenceyear,surveyyear,year_source_uis_original,source_uis,note_source,note_adddition,_merge
DHS,Afghanistan_2015,2015,54.699928,37.217716,23.371168,Both in UIS & GEM. No problem,UIS estimates are reported,.48913956,.26132584,.70789146,33.753468,44.035019,62.390251,Both in UIS & GEM. Diff>3,Need to analyze,3.4804306,4.955368,5.7144012,AFG,Afghanistan,Total,,,,,,,47.236542,32.381882,18.146549,4.5316968,51.500648,54.862934,15699,11950,10120,42700,42700,32166,17519,17519,17519,36598,15947,13411,2015,all,54.210789,36.95639,24.07906,37.233898,39.079651,56.67585,2015,2015,2015,DHS,,,matched (3)
DHS,Albania_2008,2009,98.106369,96.360519,48.167641,Both in UIS & GEM. Diff>3,Need to analyze,.084373474,31.839836,0,7.6782598,3.1889193,27.17218,Both in UIS & GEM. No problem,UIS estimates are reported,1.5782599,.018820763,.15373039,ALB,Albania,Total,,,,,,,98.119652,94.589867,44.189663,10.431551,1.8401599,2.6758862,2124,1951,1253,5020,5020,3449,1959,1959,1959,2650,2778,2036,2009,all,98.190742,64.520683,48.167641,6.0999999,3.2077401,27.01845,2009,2008-09,2008-09,DHS,,,matched (3)
DHS,Albania_2017,2017,92.007843,93.66037,81.361298,Both in UIS & GEM. No problem,UIS estimates are reported,2.9490051,.0049591064,1.0491867,9.5921078,3.3809178,11.83621,Both in UIS & GEM. Diff>3,Need to analyze,5.688158,1.4623821,8.8692398,ALB,Albania,Total,,,,,,,97.566978,90.497635,73.920563,15.11339,1.5084188,1.6330423,2238,2314,2071,7162,7162,6856,3454,3454,3454,3306,3083,2273,2017,all,94.956848,93.655411,80.312111,3.90395,4.8432999,20.70545,,,2017,DHS,,Added Feb 2020,matched (3)
DHS,Angola_2015,2015,59.604759,36.429382,18.630465,Both in UIS & GEM. No problem,UIS estimates are reported,.2694397,.0481987,.18790627,24.17643,16.064735,29.218262,Both in UIS & GEM. No problem,UIS estimates are reported,2.4217701,.2181654,.23240089,AGO,Angola,Total,,,,,,,67.149384,35.73275,22.896349,7.2605128,14.621305,21.746012,4086,4050,3400,12040,12040,10085,5352,5352,5352,13440,4982,4171,2015,all,59.874199,36.477581,18.818371,21.75466,15.84657,28.985861,2015,2016,2015-16,DHS,,,matched (3)
DHS,Armenia_2000,2000,99.04924,98.493767,85.045982,Both in UIS & GEM. No problem,UIS estimates are reported,.00076293945,.0037689209,.0040206909,3.1993005,1.6938368,15.913738,Only in GEM,GEM estimates are reported,,,,ARM,Armenia,Total,,,,,,,99.71772,97.906647,88.388214,11.235216,.19250935,.3029643,1625,1516,1404,4753,4753,3838,2169,2169,2169,1405,2607,1068,2000,all,99.050003,98.489998,85.050003,,,,,,2000,DHS,UIS copied directly from WIDE,Added Feb 2020,matched (3)
DHS,Armenia_2005,2005,99.454613,83.195862,67.436966,Both in UIS & GEM. Diff>3,Need to analyze,0,10.838394,31.983585,1.3075842,1.5363365,13.753308,Both in UIS & GEM. No problem,UIS estimates are reported,.0029758215,.096693516,.23105812,ARM,Armenia,Total,,,,,,,99.376434,87.643738,65.259224,10.299994,.46082199,.7049371,1440,1294,1317,4561,4561,3940,2191,2191,2191,1050,2198,1074,2006,all,99.454613,72.357468,35.453381,1.31056,1.6330301,13.52225,2006,2005,2005,DHS,,,matched (3)
DHS,Armenia_2010,2010,99.875038,99.282944,93.124916,Both in UIS & GEM. No problem,UIS estimates are reported,0,0,.077636719,.52991897,.56080097,11.303757,Both in UIS & GEM. Diff>3,Need to analyze,3.6353109,.24997902,.031943321,ARM,Armenia,Total,,,,,,,99.700363,99.232063,91.754623,11.725302,.20323442,.20323442,960,958,1138,3710,3710,3927,2048,2048,2048,755,1547,701,2011,all,99.875038,99.282944,93.047279,4.1652298,.81077999,11.3357,2011,2010,2010,DHS,,,matched (3)
DHS,Armenia_2015,2016,99.400055,99.45755,93.673668,Both in UIS & GEM. No problem,UIS estimates are reported,.13231659,2.4897614,28.966316,6.4273963,.7782191,9.6259613,Both in UIS & GEM. No problem,UIS estimates are reported,1.9618464,.018459082,.12763119,ARM,Armenia,Total,,,,,,,99.747185,99.246719,93.004776,12.124796,.19963887,.24440095,1039,849,933,3402,3402,4113,1911,1911,1911,1452,1756,995,2016,all,99.267738,96.967789,64.707352,4.4655499,.75976002,9.4983301,2016,2015-16,2015-16,DHS,,,matched (3)
DHS,Azerbaijan_2006,2006,97.9422,91.655685,74.952354,Both in UIS & GEM. No problem,UIS estimates are reported,0,7.6293945e-06,7.6293945e-06,5.6445694,3.0043461,13.481894,Both in UIS & GEM. No problem,UIS estimates are reported,.028569221,.22210383,.0033559799,AZE,Azerbaijan,Total,,,,,,,97.885643,90.242302,67.797318,11.071115,1.0675691,2.0622852,2114,1587,1647,5476,5476,4710,2561,2561,2561,2004,3441,1324,2006,all,97.9422,91.655693,74.952347,5.6160002,3.22645,13.48525,2006,2006,2006,DHS,,,matched (3)
DHS,Bangladesh_1999,2000,59.577446,38.460999,10.537128,Both in UIS & GEM. No problem,UIS estimates are reported,.0025558472,.00099945068,.0028715134,,,,Only in GEM,GEM estimates are reported,,,,BGD,Bangladesh,Total,,,,,,,60.947735,36.962349,10.934698,5.3550391,29.602558,37.421349,4031,4026,3412,11283,11283,9329,4907,4907,4907,0,0,0,2000,all,59.580002,38.459999,10.54,,,,,,2000,DHS,UIS copied directly from WIDE,Added Feb 2020,matched (3)
