Dataflow,STAT_UNIT,UNIT_MEASURE,EDU_LEVEL,EDU_CAT,SEX,AGE,GRADE,SECTOR_EDU,EDU_ATTAIN,WEALTH_QUINTILE,LOCATION,EDU_TYPE,EDU_FIELD,SUBJECT,INFRASTR,SE_BKGRD,TEACH_EXPERIENCE,CONTRACT_TYPE,COUNTRY_ORIGIN,REGION_DEST,IMM_STATUS,REF_AREA,TIME_PERIOD,OBS_VALUE,UNIT_MULT,OBS_STATUS,FREQ,DECIMALS
UNESCO:EDU_NON_FINANCE(3.0),ROFST_PHH,PT,L3,_T,_T,SCH_AGE_GROUP,_T,INST_T,_Z,_T,_T,_T,_T,_Z,_Z,_Z,_Z,_Z,W00,W00,_Z,AF,2011,60.59283,0,A,A,5
UNESCO:EDU_NON_FINANCE(3.0),ROFST_PHH,PT,L3,_T,_T,SCH_AGE_GROUP,_T,INST_T,_Z,_T,_T,_T,_T,_Z,_Z,_Z,_Z,_Z,W00,W00,_Z,AF,2015,56.67585,0,A,A,5
UNESCO:EDU_NON_FINANCE(3.0),ROFST_PHH,PT,L3,_T,_T,SCH_AGE_GROUP,_T,INST_T,_Z,_T,_T,_T,_T,_Z,_Z,_Z,_Z,_Z,W00,W00,_Z,AL,2009,27.01845,0,A,A,5
UNESCO:EDU_NON_FINANCE(3.0),ROFST_PHH,PT,L3,_T,_T,SCH_AGE_GROUP,_T,INST_T,_Z,_T,_T,_T,_T,_Z,_Z,_Z,_Z,_Z,W00,W00,_Z,AL,2017,20.70545,0,A,A,5
UNESCO:EDU_NON_FINANCE(3.0),ROFST_PHH,PT,L3,_T,_T,SCH_AGE_GROUP,_T,INST_T,_Z,_T,_T,_T,_T,_Z,_Z,_Z,_Z,_Z,W00,W00,_Z,AM,2006,13.52225,0,A,A,5
UNESCO:EDU_NON_FINANCE(3.0),ROFST_PHH,PT,L3,_T,_T,SCH_AGE_GROUP,_T,INST_T,_Z,_T,_T,_T,_T,_Z,_Z,_Z,_Z,_Z,W00,W00,_Z,AM,2011,11.33570,0,A,A,5
UNESCO:EDU_NON_FINANCE(3.0),ROFST_PHH,PT,L3,_T,_T,SCH_AGE_GROUP,_T,INST_T,_Z,_T,_T,_T,_T,_Z,_Z,_Z,_Z,_Z,W00,W00,_Z,AM,2016,9.49833,0,A,A,5
UNESCO:EDU_NON_FINANCE(3.0),ROFST_PHH,PT,L3,_T,_T,SCH_AGE_GROUP,_T,INST_T,_Z,_T,_T,_T,_T,_Z,_Z,_Z,_Z,_Z,W00,W00,_Z,AO,2015,28.98586,0,A,A,5
UNESCO:EDU_NON_FINANCE(3.0),ROFST_PHH,PT,L3,_T,_T,SCH_AGE_GROUP,_T,INST_T,_Z,_T,_T,_T,_T,_Z,_Z,_Z,_Z,_Z,W00,W00,_Z,AZ,2006,13.48525,0,A,A,5
UNESCO:EDU_NON_FINANCE(3.0),ROFST_PHH,PT,L3,_T,_T,SCH_AGE_GROUP,_T,INST_T,_Z,_T,_T,_T,_T,_Z,_Z,_Z,_Z,_Z,W00,W00,_Z,BA,2012,9.18073,0,A,A,5
UNESCO:EDU_NON_FINANCE(3.0),ROFST_PHH,PT,L3,_T,_T,SCH_AGE_GROUP,_T,INST_T,_Z,_T,_T,_T,_T,_Z,_Z,_Z,_Z,_Z,W00,W00,_Z,BB,2012,3.52142,0,A,A,5
UNESCO:EDU_NON_FINANCE(3.0),ROFST_PHH,PT,L3,_T,_T,SCH_AGE_GROUP,_T,INST_T,_Z,_T,_T,_T,_T,_Z,_Z,_Z,_Z,_Z,W00,W00,_Z,BD,2006,64.81565,0,A,A,5
UNESCO:EDU_NON_FINANCE(3.0),ROFST_PHH,PT,L3,_T,_T,SCH_AGE_GROUP,_T,INST_T,_Z,_T,_T,_T,_T,_Z,_Z,_Z,_Z,_Z,W00,W00,_Z,BD,2011,53.43948,0,A,A,5
UNESCO:EDU_NON_FINANCE(3.0),ROFST_PHH,PT,L3,_T,_T,SCH_AGE_GROUP,_T,INST_T,_Z,_T,_T,_T,_T,_Z,_Z,_Z,_Z,_Z,W00,W00,_Z,BD,2014,47.91265,0,A,A,5
UNESCO:EDU_NON_FINANCE(3.0),ROFST_PHH,PT,L3,_T,_T,SCH_AGE_GROUP,_T,INST_T,_Z,_T,_T,_T,_T,_Z,_Z,_Z,_Z,_Z,W00,W00,_Z,BF,2003,88.53164,0,A,A,5
UNESCO:EDU_NON_FINANCE(3.0),ROFST_PHH,PT,L3,_T,_T,SCH_AGE_GROUP,_T,INST_T,_Z,_T,_T,_T,_T,_Z,_Z,_Z,_Z,_Z,W00,W00,_Z,BF,2006,83.21649,0,A,A,5
UNESCO:EDU_NON_FINANCE(3.0),ROFST_PHH,PT,L3,_T,_T,SCH_AGE_GROUP,_T,INST_T,_Z,_T,_T,_T,_T,_Z,_Z,_Z,_Z,_Z,W00,W00,_Z,BF,2010,75.86627,0,A,A,5
UNESCO:EDU_NON_FINANCE(3.0),ROFST_PHH,PT,L3,_T,_T,SCH_AGE_GROUP,_T,INST_T,_Z,_T,_T,_T,_T,_Z,_Z,_Z,_Z,_Z,W00,W00,_Z,BI,2000,78.57143,0,A,A,5
UNESCO:EDU_NON_FINANCE(3.0),ROFST_PHH,PT,L3,_T,_T,SCH_AGE_GROUP,_T,INST_T,_Z,_T,_T,_T,_T,_Z,_Z,_Z,_Z,_Z,W00,W00,_Z,BI,2010,61.59023,0,A,A,5
UNESCO:EDU_NON_FINANCE(3.0),ROFST_PHH,PT,L3,_T,_T,SCH_AGE_GROUP,_T,INST_T,_Z,_T,_T,_T,_T,_Z,_Z,_Z,_Z,_Z,W00,W00,_Z,BI,2017,53.52262,0,A,A,5
UNESCO:EDU_NON_FINANCE(3.0),ROFST_PHH,PT,L3,_T,_T,SCH_AGE_GROUP,_T,INST_T,_Z,_T,_T,_T,_T,_Z,_Z,_Z,_Z,_Z,W00,W00,_Z,BJ,2006,54.24874,0,A,A,5
UNESCO:EDU_NON_FINANCE(3.0),ROFST_PHH,PT,L3,_T,_T,SCH_AGE_GROUP,_T,INST_T,_Z,_T,_T,_T,_T,_Z,_Z,_Z,_Z,_Z,W00,W00,_Z,BJ,2011,46.53134,0,A,A,5
UNESCO:EDU_NON_FINANCE(3.0),ROFST_PHH,PT,L3,_T,_T,SCH_AGE_GROUP,_T,INST_T,_Z,_T,_T,_T,_T,_Z,_Z,_Z,_Z,_Z,W00,W00,_Z,BJ,2014,47.45315,0,A,A,5
