name,country_year,varlab_en,encode,keep
hhid,hvidx,,,1
hvidx,hv000,,,1
hv000,hv001,,,1
hv001,hv002,,,1
hv002,hv003,,,1
hv003,hv005,,,1
hv005,hv006,,,1
hv006,hv007,,,1
hv007,hv008,,,1
hv008,hv016,,,1
hv016,hv009,,,1
hv009,hv024,,,1
hv024,hv025,,decode,1
hv025,hv270,,,1
hv270,hv102,,,1
hv102,hv104,,,1
hv104,hv105,,,1
hv105,hv106,,,1
hv106,hv107,,,1
hv107,hv108,,,1
hv108,hv109,,,1
hv109,hv121,,,1
hv121,hv122,,,1
hv122,hv123,,,1
hv123,hv124,,,1
hv124,hv125,,,1
hv125,hv126,,,1
hv126,hv127,,,1
hv127,hv128,,,1
hv128,hv129,,,1
hv129,,,decode,1
