region,region_replace,country
[ap] andhra pradesh,andhra pradesh,India
[ar] arunachal pradesh,arunachal pradesh,India
[as] assam,assam,India
[bh] bihar,bihar,India
[ch] chhattisgarh,chhattisgarh,India
[dl] delhi,delhi,India
[gj] gujarat,gujarat,India
[go] goa,goa,India
[hp] himachal pradesh,himachal pradesh,India
[hr] haryana,haryana,India
[jh] jharkhand,jharkhand,India
[jm] jammu and kashmir,jammu and kashmir,India
[ka] karnataka,karnataka,India
[ke] kerala,kerala,India
[mg] meghalaya,meghalaya,India
[mh] maharashtra,maharashtra,India
[mn] manipur,manipur,India
[mp] madhya pradesh,madhya pradesh,India
[mz] mizoram,mizoram,India
[na] nagaland,nagaland,India
[or] orissa,orissa,India
[pj] punjab,punjab,India
[rj] rajasthan,rajasthan,India
[sk] sikkim,sikkim,India
[tn] tamil nadu,tamil nadu,India
[tr] tripura,tripura,India
[uc] uttaranchal,uttaranchal,India
[up] uttar pradesh,uttar pradesh,India
[wb] west bengal,west bengal,India
addis,addis ababa,Ethiopia
addis abeba,addis ababa,Ethiopia
affar,afar,
Al Mhrah,Al Mahrah,Yemen
Al Mhweit,Al Mahwit,Yemen
Amoron'I Mania,Amoron'i Mania,
anamoroni'i mania,amoron'i mania,Madagascar
b. e. t.,borkou/ennedi/tibesti,Chad
battambang & krong pailin,battambang & pailin,Cambodia
ben gumz,benishangul gumuz,Ethiopia
benishangul,benishangul gumuz,Ethiopia
botha bothe,butha buthe,
butha bothe,butha buthe,
cenrtal sulawesi,central sulawesi,Indonesia
central region,central,Malawi
dar es salam,dar es salaam,
di aceh,aceh,Indonesia
di yogyakarta,yogyakarta,Indonesia
djalal abad,Jalal-Abad,Kyrgyzstan
dki jakarta,jakarta,Indonesia
do principe,principe,SaoTomeandPrincipe
Drd,DRD,Tajikistan
drs,DRD,Tajikistan
el seybo,el seibo,
grand'anse,grand anse,
grande agglomeration de lome,lome,Togo
grande anse,grand anse,
hauts basins,hauts bassins,
i ilocos region,i ilocos,Philippines
kampong chaam,kampong cham,
kampong thum,kampong thom,Cambodia
kampot & krong kep,kampot & kep,Cambodia
kandaal,kandal,
kasaď occident,kasai occidental,DRCongo
kasaď oriental,kasai oriental,DRCongo
kigali city (pvk),Kigali City,Rwanda
kigali ngali,kigali rural,Rwanda
kigali rurale,kigali rural,Rwanda
kigali ville (pvk),kigali city (pvk),Rwanda
Lahj,Lahej,Yemen
maluku utara,north maluku,Indonesia
maria trinidad s nchez,maria trinidad sanchez,
maritime (sans agglomeration de lome),maritime,Togo
Mohale'S Hoek,Mohale's Hoek,Lesotho
north,northern,Malawi
north,nord,Burundi
northeastern,north eastern,Kenya
northern region,northern,Malawi
northwestern,north western,Zambia
Nwfp,NWFP,
orientale,Province Orientale,DRCongo
oromiya,oromia,Ethiopia
osh oblast,osh,Kyrgyzstan
ouaddaď,ouaddai,Chad
prey veaeng,prey veng,Cambodia
Qacha'S Nek,Qacha's Nek,
qasha's nek,qacha's nek,
queme,oueme,Benin
rajashahi,rajshahi,Bangladesh
rajshani,rajshahi,Bangladesh
region 1,Barima Waini,Guyana
region 10,Upper Demerara Berbice,Guyana
region 2,Pomeroon Supenaam,Guyana
region 3,Essequibo Islands West Demerara,Guyana
region 4,Demerara Mahaica,Guyana
region 5,Mahaica Berbice,Guyana
region 6,East Berbice Corentyne,Guyana
region 7,Cuyuni Mazaruni,Guyana
region 8,Potaro Siparuni,Guyana
region 9,Upper Takutu Upper Essequibo,Guyana
Reimah,Raymah,Yemen
s nchez ramirez,sanchez ramirez,
Sadah,Sa'dah,Yemen
saman,samana,DominicanRepublic
san jos de ocoa,san jose de ocoa,
Sanaa,Sana'a,Yemen
Sanaa City,Sana'a City,Yemen
sar e pul,sar-e pul,Afghanistan
Sar-E Pul,Sar-e Pul,
siem reab,siem reap,
snnp,snnpr,Ethiopia
Snnpr,SNNPR,
south,southern,Malawi
south,sud,Burundi
southeast,south east,VietNam
southern region,southern,Malawi
sud sans abidjan,Sud (Sans Ville D'Abidjan),CotedIvoire
svaay rieng,svay rieng,
v bicol region,v bicol,Philippines
ville de kigali,kigali city,Rwanda
west,ouest,Burundi
xi davao peninsula,xi davao,Philippines
zanziba south,zanzibar south,
zuguinchor,ziguinchor,Senegal
