religion,religion_replace,country_year
adventist/jehova,adventist/jehova,
adventiste/jehova,adventist/jehova,
aventist,adventist,
adventista,adventist,
anglican church,anglican,
animiste,animist,
arme du salut,armee de salut,
buddhism,buddhist,
budhist,buddhist,
buddhist/neo buddhist,buddhist/neo-buddhist,
catholique,catholic,
catolica,catholic,
catholic/greek cath.,catholic/greek catholict,
catholic/greek cath,catholic/greek catholict,
christan,christian,
christianity,christian,
christrian,christian,
chretienne,christian,
christian/protesstan,christian protestant,
evangelic,evangelical,
evangelist,evangelical,
lesotho evangelical church,evangelical,
evangelica,evangelical,
envagelic/petencostal,evangelical/pentecostal,
hinduism,hindu,
hinduismo,hindu,
judaism,jewish,
jehovah witness,jehovah's witness,
jehovah's witness (other recode),jehovah's witness,
jehovah's witnesses,jehovah's witness,
jeova witness,jehovah's witness,
kibanguist,kimbanguist,
kimbanguiste,kimbanguist,
moslem,muslim,
mulsim,muslim,
muslem,muslim,
muslim/islam,muslim,
muslin,muslim,
muslum,muslim,
musulman,muslim,
musualmane,muslim,
musulmane/islam,muslim,
islam,muslim,
islamic,muslim,
islan,muslim,
islamismo,muslim,
seventh day adventist,seventh-day adventist,
sda,seventh-day adventist,
traditional / animist,traditional/animist,
traditionnal/animist,traditional/animist,
vaudousant,vaudouisant,
zion,zionist,
zephirrin/matsouanist/ngunza,zephirin/matsouaniste/ngunza,
dk,don't know/no response,
no sabe,don't know/no response,
not responded,don't know/no response,
refused/dk,don't know/no response,
no religion,no religion/none,
no religion/none,no religion/none,
not religion,no religion/none,
not religious,no religion/none,
none,no religion/none,
no tiene,no religion/none,
pas de religion,no religion/none,
sans religion,no religion/none,
other religion,other,
other religions,other,
others,other,
otra,other,
autre,other,
other christians,other christian,
other chritians,other christian,
other protestants,other protestant,
other traditional religions,other traditional,
1,muslim,URTanzania_2004
2,catholic,URTanzania_2004
3,protestant,URTanzania_2004
4,none,URTanzania_2004
6,other,URTanzania_2004
9,.,URTanzania_2004
