current_ethnicity,new_ethnicity,country
kazak,kazakh,
roma(gypsy),roma,
indigena,indigenous,
sonraď/djerma,sonrai/djerma,Mali
mixed race,mixed,
dk,don't know,
desn't want to declare,don't know,
doesn't want to declare,don't know,
non declare/pas de reponse,don't know,
ns/nr,don't know,
manquant,missing,
missing/dk,missing,
sin informacion/ignorado,missing,
sin dato,missing,
other ethnic groups,other ethnic group,
autre,other,
other ethnic group,other,
other ethnicity,other,
others,other,
otra,other,
otro,other,
otro grupo,other,
autre groupe ethnique,other,
