current_religion,new_religion
anemista,animist
animisme,animist
animiste,animist
aventist,adventist
adventista,adventist
buddhism,buddhist
budhist,buddhist
budismo,buddhist
catholique,catholic
catolica,catholic
catolico,catholic
roman catholics,catholic
chretienne,christian
christianity,christian
confucianismo,confucianism
evangelica,evangelical
evangelicos,evangelical
hinduism,hindu
hinduismo,hindu
judaism,jewish
judaismo,jewish
temoins de jehovah,jehovah's witness
jehovah witness,jehovah's witness
jehovah's witness (other recode),jehovah's witness
jehovah's witnesses,jehovah's witness
testigos de jehova,jehovah's witness
jeova witness,jehovah's witness
mormonismo,mormom
musulman,muslim
musulmane,muslim
muçulmana,muslim
islam,muslim
islamic,muslim
islan,muslim
islamismo,muslim
ortodoxa,orthodox
penticostal/charismatic,pentecostal/charismatic
seventh day adventist,seventh-day adventist
sda,seventh-day adventist
dk,don't know
manquant,missing
missing/dk,missing
ns/ em falta,missing
omitido/no sabe,missing
ninguna,none
ninguna religion,none
no religion,none
sem religiao,none
pas de religion/manquant,no religion/missing
other religion,other
others,other
otra religion,other
outra religiao,other
autre religion,other
otra,other
otro,other
