iso_code3,country,survey,year,category,Sex,Location,Wealth,Region,comp_prim_v2_m,comp_lowsec_v2_m,comp_upsec_v2_m,comp_prim_1524_m,comp_lowsec_1524_m,comp_upsec_2029_m,comp_higher_2yrs_2529_m,comp_higher_4yrs_2529_m,comp_higher_4yrs_3034_m,eduyears_2024_m,preschool_1ybefore_m,preschool_3_m,eduout_upsec_m,att_higher_1824_m,comp_prim_v2_no,comp_lowsec_v2_no,comp_upsec_v2_no,comp_prim_1524_no,comp_lowsec_1524_no,comp_upsec_2029_no,comp_higher_2yrs_2529_no,comp_higher_4yrs_2529_no,comp_higher_4yrs_3034_no,eduyears_2024_no,preschool_1ybefore_no,preschool_3_no,eduout_upsec_no,att_higher_1824_no,comp_lowsec_2024_no,comp_upsec_2024_no,comp_lowsec_2024,comp_upsec_2024,prim_age0,lowsec_age0,upsec_age0,prim_age1,lowsec_age1,upsec_age1,prim_dur,lowsec_dur,upsec_dur,higher_dur,flag_lfs
AUT,Austria,EU-SILC,2015,Location & Wealth,,Intermediate or densely populated area,Quintile 3,,,1,.8690061,1,1,.89997435,.44290432,0,0,11.877229,1,.75862259,.04429435,.77894592,0,38,48,124,124,154,82,82,82,72,13,27,25,404,72,72,1,.8772521,6,10,14,9,13,17,4,4,4,3,
AUT,Austria,EU-SILC,2015,Location & Sex,Male,Intermediate or densely populated area,,,,.9953599,.84014118,1,.98714894,.8661384,.36825749,0,0,11.557365,.98186517,.7095204,.12603697,.77255237,0,100,143,358,358,399,181,181,218,218,39,79,58,1337,218,218,.98132074,.84485191,6,10,14,9,13,17,4,4,4,3,
AUT,Austria,EU-SILC,2015,Wealth & Region,,,Quintile 2,Westoesterreich,,1,.79553789,1,1,.76788408,.22167802,0,0,11.305849,1,.67071587,.034625988,.57823956,0,44,35,111,111,105,48,48,95,57,16,38,25,197,57,57,1,.7640239,6,10,14,9,13,17,4,4,4,3,
AUT,Austria,EU-SILC,2015,Wealth & Region,,,Quintile 3,Suedoesterreich,,1,.90130657,1,1,.93287188,.39139941,0,0,12.134042,1,.81954604,0,.72357821,0,18,20,52,52,57,28,28,34,29,6,6,12,127,29,29,1,.9331336,6,10,14,9,13,17,4,4,4,3,
AUT,Austria,EU-SILC,2015,Sex & Wealth & Region,Female,,Quintile 2,Suedoesterreich,,1,.52796942,1,1,.71284634,.12876441,0,0,11.01765,1,.64545208,0,.82960886,0,11,3,20,20,28,21,21,21,7,1,11,7,41,7,7,1,.62815768,6,10,14,9,13,17,4,4,4,3,
AUT,Austria,EU-SILC,2015,Wealth,,,Quintile 3,,,1,.89932334,1,1,.91024828,.36283487,0,0,11.942854,1,.73812872,.043024439,.74086827,0,82,87,250,250,270,139,139,154,131,31,47,57,669,131,131,1,.89567387,6,10,14,9,13,17,4,4,4,3,
AUT,Austria,EU-SILC,2015,Location & Sex & Wealth,Male,Thinly populated area,Quintile 3,,,1,.85784376,1,1,.88420218,.18062568,0,0,11.384513,1,.83795333,.083122134,.6531713,0,24,18,61,61,60,33,33,33,27,10,7,16,148,27,27,1,.82156146,6,10,14,9,13,17,4,4,4,3,
AUT,Austria,EU-SILC,2015,Wealth & Region,,,Quintile 5,Ostoesterreich,,1,1,1,1,.94851744,.77962857,0,0,12.230412,1,.95789218,.050856821,.92330319,0,16,26,72,72,81,35,35,62,46,10,16,13,617,46,46,1,.94276047,6,10,14,9,13,17,4,4,4,3,
AUT,Austria,EU-SILC,2015,Sex & Wealth & Region,Male,,Quintile 3,Ostoesterreich,,1,.9684149,1,1,.86369914,.31320336,0,0,11.426468,1,.69057703,.098694295,.74575204,0,19,15,49,49,48,23,23,31,25,5,9,11,149,25,25,1,.7995621,6,10,14,9,13,17,4,4,4,3,
AUT,Austria,EU-SILC,2015,Location,,Thinly populated area,,,,1,.85432303,1,1,.90585554,.31692836,0,0,11.834868,.97996891,.68813485,.053081382,.7026183,0,167,175,525,525,563,278,278,292,285,57,111,111,1329,285,285,1,.88240206,6,10,14,9,13,17,4,4,4,3,
AUT,Austria,EU-SILC,2015,Location & Sex & Wealth,Male,Thinly populated area,Quintile 1,,,1,.82168865,1,1,.89263916,.11694334,0,0,11.638967,.80092466,.69312257,.20592031,.60536182,0,17,17,44,44,35,11,11,14,24,7,11,12,81,24,24,1,.84926742,6,10,14,9,13,17,4,4,4,3,
AUT,Austria,EU-SILC,2015,Location & Sex & Wealth,Female,Thinly populated area,Quintile 3,,,1,1,1,1,.96783322,.32216942,0,0,12.550404,1,.62129444,0,.7065317,0,20,21,65,65,56,24,24,39,32,8,13,16,117,32,32,1,1,6,10,14,9,13,17,4,4,4,3,
AUT,Austria,EU-SILC,2015,Sex & Wealth & Region,Male,,Quintile 2,Suedoesterreich,,1,.90981627,1,1,.92679501,.27801377,0,0,11.954988,.90371025,.5490703,0,.60207498,0,10,9,32,32,28,12,12,15,16,8,7,6,63,16,16,1,.95092607,6,10,14,9,13,17,4,4,4,3,
AUT,Austria,EU-SILC,2015,Sex & Wealth & Region,Female,,Quintile 1,Suedoesterreich,,1,.8226549,1,1,.79150492,.16287075,0,0,11.360884,1,.47217748,0,.48185056,0,2,16,34,34,48,20,20,10,28,3,4,1,59,28,28,1,.804447,6,10,14,9,13,17,4,4,4,3,
AUT,Austria,EU-SILC,2015,Location & Wealth,,Thinly populated area,Quintile 1,,,1,.70388919,1,1,.79870701,.073217146,0,0,11.236627,.88383609,.64182097,.13255428,.57709581,0,27,35,86,86,79,30,30,31,49,11,15,19,158,49,49,1,.75672477,6,10,14,9,13,17,4,4,4,3,
AUT,Austria,EU-SILC,2015,Location & Wealth,,Thinly populated area,Quintile 2,,,1,.79698968,1,1,.87754768,.27235904,0,0,11.798596,1,.59621888,.028490258,.63678777,0,46,33,120,120,118,57,57,85,61,17,47,30,202,61,61,1,.85868895,6,10,14,9,13,17,4,4,4,3,
AUT,Austria,EU-SILC,2015,Sex & Wealth & Region,Female,,Quintile 1,Ostoesterreich,,1,.78997505,1,1,.78316724,.30715707,0,0,11.599899,1,.47347865,.063633539,.67376781,0,20,24,71,71,83,38,38,35,45,4,10,17,133,45,45,1,.81763864,6,10,14,9,13,17,4,4,4,3,
AUT,Austria,EU-SILC,2015,Sex & Region,Male,,,Ostoesterreich,,.99364215,.85462797,1,.99840081,.87779129,.4068864,0,0,11.659208,1,.82307214,.17415158,.78299367,0,74,96,258,258,285,128,128,157,157,28,52,43,968,157,157,1,.83916271,6,10,14,9,13,17,4,4,4,3,
AUT,Austria,EU-SILC,2015,Location & Sex & Wealth,Male,Thinly populated area,Quintile 2,,,1,.82012892,1,1,.89073735,.25796548,0,0,11.811123,1,.68193239,.090318717,.58518618,0,21,19,66,66,57,22,22,32,35,14,25,11,116,35,35,1,.87263423,6,10,14,9,13,17,4,4,4,3,
AUT,Austria,EU-SILC,2015,Sex & Wealth & Region,Male,,Quintile 2,Ostoesterreich,,1,.74454606,1,1,.85828274,.34622401,0,0,11.415368,1,.74733448,0,.67823142,0,16,18,52,52,56,23,23,27,33,7,14,9,123,33,33,1,.77642113,6,10,14,9,13,17,4,4,4,3,
AUT,Austria,EU-SILC,2015,Wealth & Region,,,Quintile 4,Ostoesterreich,,1,.91930073,1,1,.93903244,.46619233,0,0,12.079953,1,.90521449,0,.81584799,0,20,41,92,92,128,67,67,86,61,8,12,10,402,61,61,1,.92869884,6,10,14,9,13,17,4,4,4,3,
AUT,Austria,EU-SILC,2015,Wealth,,,Quintile 4,,,1,.90871811,1,1,.94861531,.45357653,0,0,12.026791,1,.80218077,.031195655,.76429325,0,62,82,231,231,301,163,163,163,138,17,36,29,872,138,138,1,.9309358,6,10,14,9,13,17,4,4,4,3,
AUT,Austria,EU-SILC,2015,Wealth & Region,,,Quintile 5,Suedoesterreich,,1,.92373735,1,1,.81604159,.41770014,0,0,12.171973,,1,0,.89088774,0,5,13,24,24,35,19,19,14,16,0,2,1,198,16,16,1,.93360025,6,10,14,9,13,17,4,4,4,3,
AUT,Austria,EU-SILC,2015,Location & Wealth,,Intermediate or densely populated area,Quintile 4,,,1,.94140989,1,1,.95345598,.5292775,0,0,12.12633,1,.74347264,0,.80317795,0,26,44,115,115,154,83,83,101,71,8,16,11,533,71,71,1,.94954133,6,10,14,9,13,17,4,4,4,3,
AUT,Austria,EU-SILC,2015,Sex & Wealth & Region,Female,,Quintile 4,Ostoesterreich,,1,.96277106,1,1,.95163125,.64271766,0,0,12.323353,1,.8136397,0,.84560037,0,9,23,46,46,63,30,30,49,33,3,6,6,182,33,33,1,.97252566,6,10,14,9,13,17,4,4,4,3,
AUT,Austria,EU-SILC,2015,Sex & Wealth,Male,,Quintile 5,,,1,.89805019,1,.95882875,.91119015,.59628189,0,0,11.615019,1,.93688321,.041712373,.85883939,0,22,40,101,101,110,47,47,57,63,7,16,16,673,63,63,.93749559,.89954513,6,10,14,9,13,17,4,4,4,3,
AUT,Austria,EU-SILC,2015,Sex & Wealth,Female,,Quintile 4,,,1,.94127983,1,1,.95152652,.58809632,0,0,12.195615,1,.74227661,0,.79434973,0,29,41,109,109,144,77,77,83,67,7,15,14,399,67,67,1,.94848406,6,10,14,9,13,17,4,4,4,3,
AUT,Austria,EU-SILC,2015,Sex & Region,Male,,,Westoesterreich,,1,.87109876,1,.98288506,.88930321,.25094056,0,0,11.670005,.97652799,.67101002,.13139716,.69449377,0,75,96,258,258,266,120,120,140,146,25,65,44,755,146,146,.97210306,.89658868,6,10,14,9,13,17,4,4,4,3,
AUT,Austria,EU-SILC,2015,Wealth & Region,,,Quintile 4,Westoesterreich,,1,.8930136,1,1,.96433628,.4451828,0,0,12.02236,1,.77077508,.081279159,.71613979,0,27,32,99,99,126,68,68,48,58,6,18,10,328,58,58,1,.94079041,6,10,14,9,13,17,4,4,4,3,
AUT,Austria,EU-SILC,2015,Location & Sex & Wealth,Female,Thinly populated area,Quintile 4,,,1,.91203803,1,1,.95521396,.51803154,0,0,12.128676,1,.77937424,0,.73422623,0,14,18,50,50,66,36,36,28,30,5,9,7,143,30,30,1,.94403976,6,10,14,9,13,17,4,4,4,3,
AUT,Austria,EU-SILC,2015,Location & Wealth,,Thinly populated area,Quintile 4,,,1,.87119532,1,1,.94390321,.3798683,0,0,11.929918,1,.85551071,.055871293,.70315367,0,36,38,116,116,147,80,80,62,67,9,20,18,339,67,67,1,.91282892,6,10,14,9,13,17,4,4,4,3,
AUT,Austria,EU-SILC,2015,Location & Sex & Wealth,Female,Thinly populated area,Quintile 5,,,1,.87739271,1,1,.95470989,.56412536,0,0,12.06877,1,.88503277,0,.91617423,0,8,8,26,26,43,28,28,17,15,2,6,7,149,15,15,1,.87846196,6,10,14,9,13,17,4,4,4,3,
AUT,Austria,EU-SILC,2015,Location & Wealth,,Thinly populated area,Quintile 3,,,1,.94006431,1,1,.92508829,.23805216,0,0,12.03169,1,.69574696,.041995533,.67797107,0,44,39,126,126,116,57,57,72,59,18,20,32,265,59,59,1,.92061132,6,10,14,9,13,17,4,4,4,3,
AUT,Austria,EU-SILC,2015,Location & Sex & Wealth,Female,Intermediate or densely populated area,Quintile 5,,,1,.91354632,1,1,.82040042,.47552317,0,0,11.906661,1,1,0,.92264348,0,10,14,34,34,47,27,27,45,20,4,7,7,362,20,20,1,.90324897,6,10,14,9,13,17,4,4,4,3,
AUT,Austria,EU-SILC,2015,Wealth,,,Quintile 1,,,.99410391,.78181291,1,.9986015,.8051011,.24943556,0,0,11.491266,.96626675,.59207416,.20985354,.60461366,0,85,124,317,317,332,135,135,140,197,32,60,55,580,197,197,1,.81186432,6,10,14,9,13,17,4,4,4,3,
AUT,Austria,EU-SILC,2015,Sex,Female,,,,,1,.83458287,1,1,.8517462,.39218616,0,0,11.768381,1,.70650381,.069641598,.77126598,0,178,199,578,578,692,361,361,411,331,53,121,122,1750,331,331,1,.85229421,6,10,14,9,13,17,4,4,4,3,
AUT,Austria,EU-SILC,2015,Location,,Intermediate or densely populated area,,,,.99762148,.83579105,1,.99315786,.84582365,.38830128,0,0,11.618389,.9902007,.73420793,.125273,.77769154,0,201,263,699,699,821,400,400,475,421,70,146,124,2515,421,421,.98998761,.84243494,6,10,14,9,13,17,4,4,4,3,
AUT,Austria,EU-SILC,2015,Sex & Region,Female,,,Ostoesterreich,,1,.85723865,1,1,.86611283,.46782091,0,0,11.902903,1,.78866881,.144152,.81896293,0,67,94,243,243,304,152,152,181,152,20,44,53,862,152,152,1,.87575585,6,10,14,9,13,17,4,4,4,3,
