iso_code3,country,survey,year,category,Sex,Location,Wealth,Region,comp_prim_v2_m,comp_lowsec_v2_m,comp_upsec_v2_m,comp_prim_1524_m,comp_lowsec_1524_m,comp_upsec_2029_m,comp_higher_2yrs_2529_m,comp_higher_4yrs_2529_m,comp_higher_4yrs_3034_m,eduyears_2024_m,preschool_1ybefore_m,preschool_3_m,eduout_upsec_m,att_higher_1824_m,comp_prim_v2_no,comp_lowsec_v2_no,comp_upsec_v2_no,comp_prim_1524_no,comp_lowsec_1524_no,comp_upsec_2029_no,comp_higher_2yrs_2529_no,comp_higher_4yrs_2529_no,comp_higher_4yrs_3034_no,eduyears_2024_no,preschool_1ybefore_no,preschool_3_no,eduout_upsec_no,att_higher_1824_no,comp_lowsec_2024_no,comp_upsec_2024_no,comp_lowsec_2024,comp_upsec_2024,prim_age0,lowsec_age0,upsec_age0,prim_age1,lowsec_age1,upsec_age1,prim_dur,lowsec_dur,upsec_dur,higher_dur,flag_lfs
AUT,Austria,EU-SILC,2015,Sex & Wealth,Male,,Quintile 1,,,.99007338,.80416024,1,.99730152,.83321428,.2876353,0,0,11.52349,,.69344217,,.62837481,0,47,63,154,154,150,58,58,60,92,17,36,27,297,92,92,1,.81646496,6,10,14,9,13,17,4,4,4,3,
AUT,Austria,EU-SILC,2015,Sex & Wealth & Region,Female,,Quintile 5,Ostoesterreich,,,,1,1,.95496345,,,0,,,,,.91883039,0,6,12,33,33,40,18,18,31,22,4,8,3,293,22,22,,,6,10,14,9,13,17,4,4,4,3,
AUT,Austria,EU-SILC,2015,Sex & Wealth,Female,,Quintile 5,,,,,1,1,.87632084,.51400214,0,0,11.969769,,,,.92082554,0,18,22,60,60,90,55,55,62,35,6,13,14,511,35,35,1,.89359963,6,10,14,9,13,17,4,4,4,3,
AUT,Austria,EU-SILC,2015,Sex & Wealth & Region,Male,,Quintile 5,Suedoesterreich,,,,,,,,,,,,,,.85891205,0,4,10,19,19,22,10,10,7,12,0,2,0,124,12,12,,,6,10,14,9,13,17,4,4,4,3,
AUT,Austria,EU-SILC,2015,Sex & Wealth & Region,Male,,Quintile 2,Westoesterreich,,,,1,1,.83379686,,,0,11.77732,,,,.61714959,0,20,22,58,58,51,20,20,44,31,10,21,12,113,31,31,1,.88592106,6,10,14,9,13,17,4,4,4,3,
AUT,Austria,EU-SILC,2015,Region,,,,Suedoesterreich,,1,.82746136,1,1,.85162896,.28344366,0,0,11.683092,,.63852543,0,.73001039,0,70,81,231,231,273,141,141,133,132,28,40,42,676,132,132,1,.85323411,6,10,14,9,13,17,4,4,4,3,
AUT,Austria,EU-SILC,2015,Wealth & Region,,,Quintile 5,Westoesterreich,,,,1,.94006366,.88593388,.46948454,0,0,11.158579,,,,.81892252,0,19,23,65,65,84,48,48,43,36,3,11,16,369,36,36,.90853524,.84667873,6,10,14,9,13,17,4,4,4,3,
AUT,Austria,EU-SILC,2015,Sex & Wealth,Female,,Quintile 3,,,1,.92079377,1,1,.94319516,.52093762,0,0,12.318617,,,,.77384073,0,40,41,123,123,130,68,68,81,62,16,26,29,317,62,62,1,.94725287,6,10,14,9,13,17,4,4,4,3,
AUT,Austria,EU-SILC,2015,Wealth & Region,,,Quintile 2,Ostoesterreich,,1,.72202945,1,1,.8431983,.31730759,0,0,11.470479,,,,.71652442,0,34,36,102,102,120,58,58,60,62,9,29,26,238,62,62,1,.78427511,6,10,14,9,13,17,4,4,4,3,
AUT,Austria,EU-SILC,2015,Location & Wealth,,Thinly populated area,Quintile 4,,,1,.87119532,1,1,.94390321,.3798683,0,0,11.929918,,,,.70315367,0,36,38,116,116,147,80,80,62,67,9,20,18,339,67,67,1,.91282892,6,10,14,9,13,17,4,4,4,3,
AUT,Austria,EU-SILC,2015,Location,,Thinly populated area,,,,1,.85432303,1,1,.90585554,.31692836,0,0,11.834868,.97996891,.68813485,.053081382,.7026183,0,167,175,525,525,563,278,278,292,285,57,111,111,1329,285,285,1,.88240206,6,10,14,9,13,17,4,4,4,3,
AUT,Austria,EU-SILC,2015,Sex & Region,Female,,,Suedoesterreich,,,.87974542,1,1,.80650336,.26940396,0,0,11.774564,,,,.76057655,0,29,34,101,101,132,72,72,74,60,7,21,16,305,60,60,1,.85737181,6,10,14,9,13,17,4,4,4,3,
AUT,Austria,EU-SILC,2015,Sex & Wealth & Region,Female,,Quintile 4,Ostoesterreich,,,,1,1,.95163125,.64271766,0,0,12.323353,,,,.84560037,0,9,23,46,46,63,30,30,49,33,3,6,6,182,33,33,1,.97252566,6,10,14,9,13,17,4,4,4,3,
AUT,Austria,EU-SILC,2015,Sex & Wealth & Region,Female,,Quintile 5,Suedoesterreich,,,,,,,,,,,,,,.94752049,0,1,3,5,5,13,9,9,7,4,0,0,1,74,4,4,,,6,10,14,9,13,17,4,4,4,3,
AUT,Austria,EU-SILC,2015,Sex & Wealth,Male,,Quintile 2,,,1,.80982059,1,1,.86274946,.26456767,0,0,11.644437,,.60785764,,.64105141,0,46,49,142,142,135,55,55,86,80,25,42,27,299,80,80,1,.84769547,6,10,14,9,13,17,4,4,4,3,
AUT,Austria,EU-SILC,2015,Location & Sex & Wealth,Male,Thinly populated area,Quintile 4,,,,,1,1,.93610519,.27436784,0,0,11.806515,,,,.68249601,0,22,20,66,66,81,44,44,34,37,4,11,11,196,37,37,1,.89345086,6,10,14,9,13,17,4,4,4,3,
AUT,Austria,EU-SILC,2015,Wealth & Region,,,Quintile 3,Suedoesterreich,,,,1,1,.93287188,,,0,,,,,.72357821,0,18,20,52,52,57,28,28,34,29,6,6,12,127,29,29,,,6,10,14,9,13,17,4,4,4,3,
AUT,Austria,EU-SILC,2015,Location & Wealth,,Thinly populated area,Quintile 5,,,,.94058311,1,1,.94573385,.48591945,0,0,12.115996,,,,.82024497,0,14,30,77,77,103,54,54,42,49,2,9,12,365,49,49,1,.9493565,6,10,14,9,13,17,4,4,4,3,
AUT,Austria,EU-SILC,2015,Location & Wealth,,Intermediate or densely populated area,Quintile 1,,,.9913035,.80721635,1,.99809277,.80695772,.29112169,0,0,11.575601,,.57893133,.2500324,.61316293,0,58,89,231,231,253,105,105,109,148,21,45,36,422,148,148,1,.83012611,6,10,14,9,13,17,4,4,4,3,
AUT,Austria,EU-SILC,2015,Wealth & Region,,,Quintile 2,Westoesterreich,,1,.79553789,1,1,.76788408,.22167802,0,0,11.305849,,.67071587,,.57823956,0,44,35,111,111,105,48,48,95,57,16,38,25,197,57,57,1,.7640239,6,10,14,9,13,17,4,4,4,3,
AUT,Austria,EU-SILC,2015,Wealth,,,Quintile 5,,,1,.89918834,1,.97310042,.8959887,.55074567,0,0,11.732152,,,.023577975,.88476413,0,40,62,161,161,200,102,102,119,98,13,29,30,1184,98,98,.95813358,.89758205,6,10,14,9,13,17,4,4,4,3,
AUT,Austria,EU-SILC,2015,Wealth,,,Quintile 2,,,1,.76132065,1,1,.81034267,.25143415,0,0,11.435395,.97995228,.70895356,.094965495,.66180217,0,99,83,265,265,281,139,139,191,142,34,85,64,539,142,142,1,.78673816,6,10,14,9,13,17,4,4,4,3,
AUT,Austria,EU-SILC,2015,Location & Sex & Wealth,Male,Intermediate or densely populated area,Quintile 1,,,.98471868,.79861808,1,.9962858,.81597251,.32201809,0,0,11.482735,,,,.63537884,0,30,46,110,110,115,47,47,46,68,10,25,15,216,68,68,1,.80488771,6,10,14,9,13,17,4,4,4,3,
AUT,Austria,EU-SILC,2015,Sex & Wealth & Region,Female,,Quintile 2,Ostoesterreich,,,,1,1,.83093649,.30216569,0,0,,,,,.75957465,0,18,18,50,50,64,35,35,33,29,2,15,17,115,29,29,,,6,10,14,9,13,17,4,4,4,3,
AUT,Austria,EU-SILC,2015,Wealth,,,Quintile 1,,,.99410391,.78181291,1,.9986015,.8051011,.24943556,0,0,11.491266,.96626675,.59207416,.20985354,.60461366,0,85,124,317,317,332,135,135,140,197,32,60,55,580,197,197,1,.81186432,6,10,14,9,13,17,4,4,4,3,
AUT,Austria,EU-SILC,2015,Sex & Wealth & Region,Female,,Quintile 1,Suedoesterreich,,,,1,1,.79150492,,,,,,,,.48185056,0,2,16,34,34,48,20,20,10,28,3,4,1,59,28,28,,,6,10,14,9,13,17,4,4,4,3,
AUT,Austria,EU-SILC,2015,Location & Sex & Wealth,Female,Thinly populated area,Quintile 3,,,,,1,1,.96783322,,,0,12.550404,,,,.7065317,0,20,21,65,65,56,24,24,39,32,8,13,16,117,32,32,1,1,6,10,14,9,13,17,4,4,4,3,
AUT,Austria,EU-SILC,2015,Location & Sex,Male,Thinly populated area,,,,1,.86347371,1,1,.91356653,.26371434,0,0,11.787714,.96811336,.76225352,.10915672,.67292976,0,90,96,288,288,293,136,136,138,157,35,57,55,757,157,157,1,.88883394,6,10,14,9,13,17,4,4,4,3,
AUT,Austria,EU-SILC,2015,Wealth & Region,,,Quintile 5,Suedoesterreich,,,,,,.81604159,,,,,,,,.89088774,0,5,13,24,24,35,19,19,14,16,0,2,1,198,16,16,,,6,10,14,9,13,17,4,4,4,3,
AUT,Austria,EU-SILC,2015,Location & Wealth,,Thinly populated area,Quintile 3,,,1,.94006431,1,1,.92508829,.23805216,0,0,12.03169,,,.041995533,.67797107,0,44,39,126,126,116,57,57,72,59,18,20,32,265,59,59,1,.92061132,6,10,14,9,13,17,4,4,4,3,
