"iso_code3","year","grade","level","survey","COUNTRY","iso_num","category","Sex","Language","Location","Wealth","mlevel2_m","mlevel3_m","mlevel4_m","mlevel2_se","mlevel3_se","mlevel4_se","mlevel2_no","mlevel3_no","mlevel4_no","rlevel2_m","rlevel3_m","rlevel4_m","rlevel2_se","rlevel3_se","rlevel4_se","rlevel2_no","rlevel3_no","rlevel4_no","slevel2_m","slevel3_m","slevel4_m","slevel2_se","slevel3_se","slevel4_se","slevel2_no","slevel3_no","slevel4_no"
"ARG",2013,3,"Primary","TERCE","Argentina",32,"Total","","","",,0.6191,0.3689,0.0938,0.0213,0.0203,0.0088,2349,1394,373,,,,,,,,,,,,,,,,,,
"BRA",2013,3,"Primary","TERCE","Brazil",76,"Total","","","",,0.6383,0.4129,0.1344,0.0255,0.025,0.0148,2279,1538,541,,,,,,,,,,,,,,,,,,
"CHL",2013,3,"Primary","TERCE","Chile",152,"Total","","","",,0.8661,0.6659,0.2658,0.0138,0.0194,0.0175,4152,3345,1526,,,,,,,,,,,,,,,,,,
"COL",2013,3,"Primary","TERCE","Colombia",170,"Total","","","",,0.5242,0.2537,0.0414,0.044,0.0297,0.0076,2388,1302,252,,,,,,,,,,,,,,,,,,
"CRI",2013,3,"Primary","TERCE","Costa Rica",188,"Total","","","",,0.8075,0.4971,0.101,0.015,0.0182,0.0081,2827,1852,479,,,,,,,,,,,,,,,,,,
"DOM",2013,3,"Primary","TERCE","Dominican Republic",214,"Total","","","",,0.1274,0.0369,0.0028,0.0133,0.0068,0.0013,592,169,10,,,,,,,,,,,,,,,,,,
"ECU",2013,3,"Primary","TERCE","Ecuador",218,"Total","","","",,0.5468,0.286,0.0589,0.0237,0.0226,0.0124,2931,1519,269,,,,,,,,,,,,,,,,,,
"GTM",2013,3,"Primary","TERCE","Guatemala",320,"Total","","","",,0.3913,0.1677,0.0337,0.0181,0.0113,0.0046,2064,875,153,,,,,,,,,,,,,,,,,,
"HND",2013,3,"Primary","TERCE","Honduras",340,"Total","","","",,0.4449,0.2048,0.0358,0.023,0.0155,0.0083,2068,1063,201,,,,,,,,,,,,,,,,,,
"MEX",2013,3,"Primary","TERCE","Mexico",484,"Total","","","",,0.7159,0.4736,0.1348,0.0164,0.0158,0.0083,2686,1909,668,,,,,,,,,,,,,,,,,,
"NIC",2013,3,"Primary","TERCE","Nicaragua",558,"Total","","","",,0.3018,0.0992,0.0138,0.0168,0.0119,0.0056,1217,417,44,,,,,,,,,,,,,,,,,,
"NLE",2013,3,"Primary","TERCE","NLE",,"Total","","","",,0.7627,0.5231,0.1725,0.0139,0.0166,0.0123,3197,2236,742,,,,,,,,,,,,,,,,,,
"PAN",2013,3,"Primary","TERCE","Panama",591,"Total","","","",,0.3948,0.1494,0.0153,0.0207,0.0175,0.0034,1575,669,103,,,,,,,,,,,,,,,,,,
"PER",2013,3,"Primary","TERCE","Peru",604,"Total","","","",,0.6194,0.3767,0.0942,0.0189,0.02,0.0112,2980,1922,532,,,,,,,,,,,,,,,,,,
"PRY",2013,3,"Primary","TERCE","Paraguay",600,"Total","","","",,0.3375,0.1712,0.0422,0.0251,0.0212,0.0115,1257,614,129,,,,,,,,,,,,,,,,,,
"URY",2013,3,"Primary","TERCE","Uruguay",858,"Total","","","",,0.7103,0.4821,0.1674,0.0361,0.039,0.0228,2641,1710,521,,,,,,,,,,,,,,,,,,
"ARG",2013,3,"Primary","TERCE","Argentina",32,"Sex","Male","","",,0.5969,0.3532,0.0917,0.0241,0.025,0.0117,1147,676,179,,,,,,,,,,,,,,,,,,
"ARG",2013,3,"Primary","TERCE","Argentina",32,"Sex","Female","","",,0.6413,0.3846,0.0959,0.0236,0.0212,0.0113,1202,718,194,,,,,,,,,,,,,,,,,,
"BRA",2013,3,"Primary","TERCE","Brazil",76,"Sex","Male","","",,0.6043,0.3961,0.1298,0.0286,0.0283,0.0154,1120,764,275,,,,,,,,,,,,,,,,,,
"BRA",2013,3,"Primary","TERCE","Brazil",76,"Sex","Female","","",,0.6733,0.4302,0.1392,0.0277,0.0269,0.0177,1159,774,266,,,,,,,,,,,,,,,,,,
"CHL",2013,3,"Primary","TERCE","Chile",152,"Sex","Male","","",,0.8598,0.6634,0.2752,0.0147,0.022,0.021,2095,1694,790,,,,,,,,,,,,,,,,,,
"CHL",2013,3,"Primary","TERCE","Chile",152,"Sex","Female","","",,0.8727,0.6686,0.2558,0.0163,0.0203,0.0193,2057,1651,736,,,,,,,,,,,,,,,,,,
"COL",2013,3,"Primary","TERCE","Colombia",170,"Sex","Male","","",,0.5107,0.2519,0.045,0.054,0.0342,0.0096,1133,639,146,,,,,,,,,,,,,,,,,,
