"iso_code3","year","grade","mlevel2_m","rlevel2_m","category","Location","Sex","Wealth","rlevel2_no","mlevel2_no","survey"
"BGD",2019,3,0.166408811213182,0.313915106831932,"Total",,,,3870,3870,"MICS6"
"BGD",2019,6,0.415865511764061,0.730450462694325,"Total",,,,3039,3039,"MICS6"
"BLR",2019,3,0.708974104037109,0.823012537714395,"Total",,,,242,242,"MICS6"
"BLR",2019,6,0.812625993272831,0.874775117717837,"Total",,,,157,157,"MICS6"
"CAF",2018,3,0.00728165189287247,0.0281050023518667,"Total",,,,857,857,"MICS6"
"CAF",2018,6,0.0736720013047232,0.179190374763494,"Total",,,,345,345,"MICS6"
"COD",2017,3,0.00367955766458931,0.043412338717481,"Total",,,,1402,1402,"MICS6"
"COD",2017,6,0.00323740289241279,0.169329858507719,"Total",,,,938,938,"MICS6"
"GHA",2017,3,0.0752700349488822,0.070133380778019,"Total",,,,888,888,"MICS6"
"GHA",2017,6,0.265952521994517,0.443848827524037,"Total",,,,736,736,"MICS6"
"GMB",2019,3,0.0567513821114145,0.0888959504281476,"Total",,,,536,536,"MICS6"
"GMB",2019,6,0.293335275172348,0.308671890250288,"Total",,,,297,297,"MICS6"
"GNB",2018,3,0.0787107664152266,0.105741593769695,"Total",,,,587,587,"MICS6"
"GNB",2018,6,0.269228921105209,0.586255118417963,"Total",,,,269,269,"MICS6"
"GUY",2019,3,0.581279782959796,0.569566685085717,"Total",,,,272,272,"MICS6"
"GUY",2019,6,0.640613453617175,0.564185706143132,"Total",,,,258,258,"MICS6"
"KGZ",2018,3,0.4524163930744,0.485773827712597,"Total",,,,325,325,"MICS6"
"KGZ",2018,6,0.647884470099688,0.720805911938189,"Total",,,,303,303,"MICS6"
"KIR",2018,3,0.178885417802484,0.352171280600855,"Total",,,,203,203,"MICS6"
"KIR",2018,6,0.253801540942705,0.31758894371536,"Total",,,,182,182,"MICS6"
"LSO",2018,3,0.0195660576815798,0.188619908875546,"Total",,,,481,481,"MICS6"
"LSO",2018,6,0.183456908513985,0.677227877406708,"Total",,,,462,462,"MICS6"
"MDG",2018,3,0.0590378234608167,0.192221331714577,"Total",,,,1256,1256,"MICS6"
"MDG",2018,6,0.228116844236524,0.641150499702736,"Total",,,,439,439,"MICS6"
"MKD",2018,3,0.391364401472114,0.608326407092401,"Total",,,,137,137,"MICS6"
"MKD",2018,6,0.537519159798121,0.701120772496959,"Total",,,,95,95,"MICS6"
"MNG",2018,3,0.35978267716616,0.530558475333889,"Total",,,,651,651,"MICS6"
"MNG",2018,6,0.446778566696686,0.704711051394349,"Total",,,,599,599,"MICS6"
"NPL",2019,3,0.260744149433879,0.245625653388751,"Total",,,,664,664,"MICS6"
"NPL",2019,6,0.437334611921594,0.525417240500431,"Total",,,,589,589,"MICS6"
"PSE",2019,3,0.290472784761902,0.320477194872022,"Total",,,,427,427,"MICS6"
"PSE",2019,6,0.492322737764649,0.638044971275959,"Total",,,,363,363,"MICS6"
"SLE",2017,3,0.0799933391219172,0.0749295760379639,"Total",,,,1194,1194,"MICS6"
"SLE",2017,6,0.312121998749762,0.424334066099022,"Total",,,,692,692,"MICS6"
"STP",2019,3,0.244763590604183,0.268190414154356,"Total",,,,202,202,"MICS6"
"STP",2019,6,0.561689595072955,0.682266187130285,"Total",,,,209,209,"MICS6"
"SUR",2018,3,0.187046211550874,0.342095622008016,"Total",,,,395,395,"MICS6"
"SUR",2018,6,0.411686547937904,0.633625912296607,"Total",,,,373,373,"MICS6"
