"iso_code3","year","grade","level","survey","category","Language","Location","Sex","Wealth","rlevel2_m","rlevel3_m","rlevel4_m","rlevel2_se","rlevel3_se","rlevel4_se","rlevel2_no","rlevel3_no","rlevel4_no"
"ALB",2021,4,"Primary","PIRLS","Total",,,,,0.9212,0.6926,0.3259,0.0094,0.0171,0.0159,3955,3136,1621
"ARE",2021,4,"Primary","PIRLS","Total",,,,,0.7503,0.5759,0.337,0.0066,0.0071,0.0061,20153,15140,8729
"AUS",2021,4,"Primary","PIRLS","Total",,,,,0.9424,0.8024,0.4805,0.0055,0.0103,0.0132,5148,4405,2726
"AUT",2021,4,"Primary","PIRLS","Total",,,,,0.9592,0.7953,0.4053,0.0043,0.0116,0.0157,4606,3816,1999
"AZE",2021,4,"Primary","PIRLS","Total",,,,,0.6743,0.3718,0.1099,0.0149,0.0169,0.0092,3828,2358,747
"BGR",2021,4,"Primary","PIRLS","Total",,,,,0.9288,0.7837,0.4906,0.0094,0.0139,0.0142,3852,3375,2229
"BHR",2021,4,"Primary","PIRLS","Total",,,,,0.7118,0.4663,0.2041,0.0093,0.0116,0.0106,3613,2318,958
"BRA",2021,4,"Primary","PIRLS","Total",,,,,0.6125,0.3713,0.1281,0.0188,0.0164,0.0102,3251,2083,791
"CYP",2021,4,"Primary","PIRLS","Total",,,,,0.9179,0.6914,0.3205,0.0067,0.0152,0.0142,4222,3231,1523
"CZE",2021,4,"Primary","PIRLS","Total",,,,,0.9601,0.8154,0.4729,0.0053,0.0104,0.0131,6394,5480,3164
"DEU",2021,4,"Primary","PIRLS","Total",,,,,0.9359,0.7464,0.3914,0.0052,0.0107,0.0119,4321,3503,1872
"DNK",2021,4,"Primary","PIRLS","Total",,,,,0.9595,0.813,0.4753,0.006,0.0094,0.0134,4659,3970,2398
"EGY",2021,4,"Primary","PIRLS","Total",,,,,0.4457,0.1949,0.0491,0.02,0.014,0.0069,3549,1592,419
"ESP",2021,4,"Primary","PIRLS","Total",,,,,0.9523,0.7572,0.3523,0.0057,0.012,0.013,8196,6664,3268
"FIN",2021,4,"Primary","PIRLS","Total",,,,,0.9648,0.8445,0.5324,0.0053,0.0102,0.0136,6799,5948,3811
"FRA",2021,4,"Primary","PIRLS","Total",,,,,0.9386,0.7242,0.3152,0.0066,0.0142,0.0149,5045,3962,1745
"GEO",2021,4,"Primary","PIRLS","Total",,,,,0.8716,0.6143,0.2549,0.0097,0.0155,0.0113,4626,3347,1430
