"iso_code3","year","grade","level","survey","COUNTRY","iso_num","category","Sex","Location","Language","Wealth","rlevel2_m","rlevel3_m","rlevel4_m","rlevel2_se","rlevel3_se","rlevel4_se","rlevel2_no","rlevel3_no","rlevel4_no"
"AUT",2006,4,"Primary","PIRLS","Austria",40,"Total","","","",,0.9762,0.839,0.4507,0.0044,0.0113,0.015,4953,4224,2297
"",2006,4,"Primary","PIRLS","Belgium (Flemish)",956,"Total","","","",,0.9922,0.8985,0.4933,0.0019,0.0088,0.0148,4448,4047,2231
"",2006,4,"Primary","PIRLS","Belgium (French)",957,"Total","","","",,0.9211,0.6561,0.2338,0.0077,0.0158,0.0126,4211,3029,1097
"BGR",2006,4,"Primary","PIRLS","Bulgaria",100,"Total","","","",,0.9476,0.8218,0.5162,0.0093,0.0176,0.0226,3705,3278,2109
"",2006,4,"Primary","PIRLS","Canada, Alberta",9134,"Total","","","",,0.9886,0.8924,0.5698,0.0025,0.0096,0.0157,4197,3807,2462
"",2006,4,"Primary","PIRLS","Canada, British Columbia",9135,"Total","","","",,0.9844,0.8826,0.56,0.0034,0.0096,0.0162,4097,3678,2375
"",2006,4,"Primary","PIRLS","Canada, Nova Scotia",9136,"Total","","","",,0.9567,0.8206,0.4833,0.0044,0.0097,0.0125,4240,3608,2059
"",2006,4,"Primary","PIRLS","Canada, Ontario",9132,"Total","","","",,0.98,0.8735,0.5421,0.0041,0.0107,0.0189,3848,3255,1828
"",2006,4,"Primary","PIRLS","Canada, Quebec",9133,"Total","","","",,0.9738,0.825,0.4066,0.0041,0.0129,0.0186,3633,3057,1518
"DEU",2006,4,"Primary","PIRLS","Germany",276,"Total","","","",,0.9741,0.8676,0.5184,0.0031,0.0082,0.017,7734,6894,4058
"DNK",2006,4,"Primary","PIRLS","Denmark",208,"Total","","","",,0.9651,0.8514,0.5185,0.0045,0.0105,0.0138,3880,3460,2159
"ENG",2006,4,"Primary","PIRLS","England",926,"Total","","","",,0.9325,0.7845,0.4778,0.0061,0.0115,0.0129,3744,3126,1879
"ESP",2006,4,"Primary","PIRLS","Spain",724,"Total","","","",,0.9354,0.7196,0.3103,0.0084,0.0144,0.0129,3878,3017,1369
"FRA",2006,4,"Primary","PIRLS","France",250,"Total","","","",,0.9591,0.7627,0.3507,0.0043,0.0114,0.0131,4218,3377,1586
"GEO",2006,4,"Primary","PIRLS","Georgia",268,"Total","","","",,0.8202,0.4976,0.1495,0.0129,0.0188,0.0133,3711,2329,656
"HKG",2006,4,"Primary","PIRLS","Hong Kong",344,"Total","","","",,0.9915,0.9243,0.6199,0.0023,0.0084,0.0165,4680,4370,2948
"HUN",2006,4,"Primary","PIRLS","Hungary",348,"Total","","","",,0.9743,0.8622,0.5297,0.0055,0.0139,0.0171,3988,3611,2300
"",2006,4,"Primary","PIRLS","Iceland (5th grade)",9352,"Total","","","",,0.983,0.873,0.531,0.0058,0.0153,0.0219,1356,1225,742
"IDN",2006,4,"Primary","PIRLS","Indonesia",360,"Total","","","",,0.5398,0.1885,0.0245,0.0212,0.0152,0.0037,2593,962,112
"IRN",2006,4,"Primary","PIRLS","Iran, Islamic Republic of",364,"Total","","","",,0.5984,0.3029,0.0775,0.0154,0.0131,0.0069,3580,1982,623
"ISL",2006,4,"Primary","PIRLS","Iceland",352,"Total","","","",,0.9317,0.7219,0.292,0.0072,0.0087,0.0105,3423,2669,1102
"ISR",2006,4,"Primary","PIRLS","Israel",376,"Total","","","",,0.8549,0.6952,0.3962,0.0116,0.0131,0.0129,3322,2697,1526
"ITA",2006,4,"Primary","PIRLS","Italy",380,"Total","","","",,0.9819,0.8685,0.5237,0.0041,0.012,0.0172,3519,3099,1883
"KWT",2006,4,"Primary","PIRLS","Kuwait",414,"Total","","","",,0.2816,0.1016,0.0164,0.0121,0.0078,0.0029,1139,406,68
"LTU",2006,4,"Primary","PIRLS","Lithuania",440,"Total","","","",,0.987,0.8611,0.4271,0.003,0.0089,0.0136,4659,4114,2097
"LUX",2006,4,"Primary","PIRLS","Luxembourg",442,"Total","","","",,0.9877,0.8883,0.5585,0.0023,0.0053,0.0068,5052,4539,2864
