"COUNTRY","year","grade","level","survey","iso_code3","iso_num","category","Wealth","Sex","Language","Location","mlevel1_m","mlevel2_m","mlevel3_m","mlevel4_m","mlevel1_se","mlevel2_se","mlevel3_se","mlevel4_se","mlevel1_no","mlevel2_no","mlevel3_no","mlevel4_no","rlevel1_m","rlevel2_m","rlevel1_se","rlevel2_se","rlevel1_no","rlevel2_no"
"Cambodia",2019,5,"Primary","SEA-PLM","KHM",116,"Total",,"","","",0.3917,0.186,0.0634,0.0161,0.0163,0.0135,0.0082,0.0037,2167,1049,371,86,,,,,,
"Lao People's Democratic Republic",2019,5,"Primary","SEA-PLM","LAO",418,"Total",,"","","",0.2137,0.0823,0.0229,0.0032,0.0136,0.0077,0.0048,0.0016,1128,441,105,13,,,,,,
"Myanmar",2019,5,"Primary","SEA-PLM","MMR",104,"Total",,"","","",0.3413,0.1215,0.0302,0.0041,0.0145,0.0094,0.0041,0.0015,1986,736,194,24,,,,,,
"Malaysia",2019,5,"Primary","SEA-PLM","MYS",458,"Total",,"","","",0.8201,0.6433,0.4008,0.1868,0.0165,0.0196,0.0206,0.0158,3754,2967,1894,901,,,,,,
"Philippines",2019,5,"Primary","SEA-PLM","PHL",608,"Total",,"","","",0.3516,0.1691,0.0574,0.0122,0.0176,0.0138,0.0084,0.0039,2136,991,337,75,,,,,,
"Viet Nam",2019,5,"Primary","SEA-PLM","VNM",704,"Total",,"","","",0.9679,0.9155,0.8067,0.6327,0.0071,0.0111,0.0152,0.018,4703,4458,3959,3119,,,,,,
"Cambodia",2019,5,"Primary","SEA-PLM","KHM",116,"Wealth",1,"","","",0.2446,0.0828,0.0193,0.0021,0.0186,0.0109,0.0051,0.0018,293,94,24,3,,,,,,
"Cambodia",2019,5,"Primary","SEA-PLM","KHM",116,"Wealth",2,"","","",0.3067,0.107,0.0208,0.0017,0.0186,0.0133,0.0072,0.0017,296,97,15,1,,,,,,
"Cambodia",2019,5,"Primary","SEA-PLM","KHM",116,"Wealth",3,"","","",0.3572,0.1479,0.0314,0.0057,0.0242,0.0147,0.0068,0.0031,379,169,41,4,,,,,,
"Cambodia",2019,5,"Primary","SEA-PLM","KHM",116,"Wealth",4,"","","",0.4341,0.2039,0.0538,0.0101,0.0286,0.0247,0.014,0.0074,477,218,56,6,,,,,,
"Cambodia",2019,5,"Primary","SEA-PLM","KHM",116,"Wealth",5,"","","",0.6564,0.4179,0.2064,0.0659,0.0264,0.0317,0.024,0.0121,722,471,235,72,,,,,,
"Lao People's Democratic Republic",2019,5,"Primary","SEA-PLM","LAO",418,"Wealth",1,"","","",0.0889,0.0244,0.0055,1e-04,0.0163,0.0095,0.0033,3e-04,97,21,3,0,,,,,,
"Lao People's Democratic Republic",2019,5,"Primary","SEA-PLM","LAO",418,"Wealth",2,"","","",0.1143,0.0269,0.0057,2e-04,0.0159,0.0071,0.0035,7e-04,109,25,5,0,,,,,,
"Lao People's Democratic Republic",2019,5,"Primary","SEA-PLM","LAO",418,"Wealth",3,"","","",0.1673,0.0506,0.0106,6e-04,0.0182,0.0096,0.0051,0.0013,173,45,7,0,,,,,,
"Lao People's Democratic Republic",2019,5,"Primary","SEA-PLM","LAO",418,"Wealth",4,"","","",0.2748,0.0955,0.018,0.0024,0.0225,0.0159,0.0056,0.0018,261,84,15,2,,,,,,
"Lao People's Democratic Republic",2019,5,"Primary","SEA-PLM","LAO",418,"Wealth",5,"","","",0.499,0.2541,0.0884,0.015,0.0329,0.03,0.0194,0.0087,486,265,75,11,,,,,,
"Myanmar",2019,5,"Primary","SEA-PLM","MMR",104,"Wealth",1,"","","",0.2305,0.0588,0.0074,5e-04,0.0238,0.0116,0.0047,0.0012,236,69,12,0,,,,,,
"Myanmar",2019,5,"Primary","SEA-PLM","MMR",104,"Wealth",2,"","","",0.2523,0.0623,0.0109,0.001,0.0254,0.0105,0.0049,0.0014,281,74,17,1,,,,,,
"Myanmar",2019,5,"Primary","SEA-PLM","MMR",104,"Wealth",3,"","","",0.3166,0.0995,0.0214,0.0024,0.0223,0.0134,0.0063,0.003,338,95,18,2,,,,,,
"Myanmar",2019,5,"Primary","SEA-PLM","MMR",104,"Wealth",4,"","","",0.4025,0.1396,0.0286,0.0016,0.023,0.0166,0.0093,0.0019,441,144,28,3,,,,,,
"Myanmar",2019,5,"Primary","SEA-PLM","MMR",104,"Wealth",5,"","","",0.6109,0.3141,0.1067,0.0192,0.0249,0.0271,0.0189,0.0083,689,353,119,18,,,,,,
"Malaysia",2019,5,"Primary","SEA-PLM","MYS",458,"Wealth",1,"","","",0.6334,0.4121,0.2007,0.0657,0.0263,0.0247,0.0242,0.0136,592,398,191,58,,,,,,
"Malaysia",2019,5,"Primary","SEA-PLM","MYS",458,"Wealth",2,"","","",0.7622,0.5559,0.3008,0.1192,0.0303,0.0312,0.0266,0.02,704,521,291,119,,,,,,
"Malaysia",2019,5,"Primary","SEA-PLM","MYS",458,"Wealth",3,"","","",0.8552,0.6753,0.4117,0.1865,0.0186,0.0267,0.0269,0.0225,767,607,381,178,,,,,,
"Malaysia",2019,5,"Primary","SEA-PLM","MYS",458,"Wealth",4,"","","",0.9122,0.749,0.4926,0.2309,0.015,0.0228,0.0286,0.0265,838,680,469,227,,,,,,
"Malaysia",2019,5,"Primary","SEA-PLM","MYS",458,"Wealth",5,"","","",0.9651,0.8623,0.6361,0.3575,0.008,0.017,0.0265,0.0257,853,761,562,319,,,,,,
