"iso_code3","year","mlevel2_m","rlevel2_m","n","category","grade","Location","Sex","survey"
"KEN",2015,0.618311883047659,0.625057815757669,24764,"Total",,,,"ASER"
"MEX",2016,0.321407274895647,0.765652951699463,1677,"Total",,,,"ASER"
"MOZ",2016,0.0211013896037056,0.0344827586206897,1943,"Total",,,,"ASER"
"PAK",2016,0.293814432989691,0.327757731958763,38800,"Total",,,,"ASER"
"TZA",2015,0.490411022135631,0.670465261324869,19856,"Total",,,,"ASER"
"UGA",2015,0.43388469549192,0.307633474718889,22442,"Total",,,,"ASER"
"KEN",2015,0.474771891680563,0.462755881938926,13125,"Grade",3,,,"ASER"
"KEN",2015,0.774611366954555,0.801787020290529,11639,"Grade",5,,,"ASER"
"MEX",2016,0.194805194805195,0.689492325855962,847,"Grade",3,,,"ASER"
"MEX",2016,0.450602409638554,0.843373493975904,830,"Grade",5,,,"ASER"
"MOZ",2016,0.0103626943005181,0.0112262521588946,1158,"Grade",3,,,"ASER"
"MOZ",2016,0.0369426751592357,0.0687898089171975,785,"Grade",5,,,"ASER"
"PAK",2016,0.141253777159576,0.166051129550578,20849,"Grade",3,,,"ASER"
"PAK",2016,0.471004400869032,0.515570163222105,17951,"Grade",5,,,"ASER"
"TZA",2015,0.359503189325789,0.559791473948534,10940,"Grade",3,,,"ASER"
"TZA",2015,0.652386032463231,0.807404262364757,8916,"Grade",5,,,"ASER"
"UGA",2015,0.304855894647517,0.164851045916008,12733,"Grade",3,,,"ASER"
"UGA",2015,0.602684696914306,0.494426454482239,9709,"Grade",5,,,"ASER"
"KEN",2015,0.59320077812493,0.586247937654706,19679,"Location",,"Rural",,"ASER"
"KEN",2015,0.673096246211467,0.709728500814277,5085,"Location",,"Urban",,"ASER"
"MEX",2016,0.321407274895647,0.765652951699463,1677,"Location",,,,"ASER"
"MOZ",2016,0.0162822252374491,0.0264586160108548,1474,"Location",,"Rural",,"ASER"
"MOZ",2016,0.0362473347547974,0.0597014925373134,469,"Location",,"Urban",,"ASER"
"PAK",2016,0.293814432989691,0.327757731958763,38800,"Location",,"Rural",,"ASER"
"TZA",2015,0.450436702635442,0.633363815029246,14930,"Location",,"Rural",,"ASER"
"TZA",2015,0.602165931388527,0.774189430653391,4904,"Location",,"Urban",,"ASER"
"TZA",2015,0.534990696876428,0.711629660793013,22,"Location",,,,"ASER"
"UGA",2015,0.419138253972786,0.274629660222618,19621,"Location",,"Rural",,"ASER"
"UGA",2015,0.501459821816609,0.458872465555305,2821,"Location",,"Urban",,"ASER"
"KEN",2015,0.601428763212571,0.592322559289241,12535,"Sex",,,"Male","ASER"
"KEN",2015,0.634906415986972,0.657233521258092,12229,"Sex",,,"Female","ASER"
"MEX",2016,0.285714285714286,0.737514518002323,861,"Sex",,,"Male","ASER"
"MEX",2016,0.35906862745098,0.795343137254902,816,"Sex",,,"Female","ASER"
"MOZ",2016,0.0230105465004794,0.0268456375838926,1043,"Sex",,,"Male","ASER"
"MOZ",2016,0.0189944134078212,0.0435754189944134,895,"Sex",,,"Female","ASER"
"MOZ",2016,0,0,5,"Sex",,,,"ASER"
"PAK",2016,0.2925573865759,0.324021418787099,24091,"Sex",,,"Male","ASER"
"PAK",2016,0.295873274865728,0.333877218029778,14709,"Sex",,,"Female","ASER"
"TZA",2015,0.495640837184653,0.658005328025819,9717,"Sex",,,"Male","ASER"
"TZA",2015,0.485456954185959,0.682268232487953,10139,"Sex",,,"Female","ASER"
"UGA",2015,0.432814983870353,0.29361905614676,11084,"Sex",,,"Male","ASER"
"UGA",2015,0.434902515673857,0.320968057398209,11358,"Sex",,,"Female","ASER"
"KEN",2015,0.439187676946866,0.41017936820188,10456,"Grade & Location",3,"Rural",,"ASER"
"KEN",2015,0.553702742466226,0.579378069379789,2669,"Grade & Location",3,"Urban",,"ASER"
"KEN",2015,0.762734060613398,0.780059258211621,9223,"Grade & Location",5,"Rural",,"ASER"
"KEN",2015,0.800063272394391,0.848347488629664,2416,"Grade & Location",5,"Urban",,"ASER"
"MEX",2016,0.194805194805195,0.689492325855962,847,"Grade & Location",3,,,"ASER"
"MEX",2016,0.450602409638554,0.843373493975904,830,"Grade & Location",5,,,"ASER"
"MOZ",2016,0.00881057268722467,0.00881057268722467,908,"Grade & Location",3,"Rural",,"ASER"
"MOZ",2016,0.016,0.02,250,"Grade & Location",3,"Urban",,"ASER"
"MOZ",2016,0.0282685512367491,0.0547703180212014,566,"Grade & Location",5,"Rural",,"ASER"
"MOZ",2016,0.0593607305936073,0.105022831050228,219,"Grade & Location",5,"Urban",,"ASER"
"PAK",2016,0.141253777159576,0.166051129550578,20849,"Grade & Location",3,"Rural",,"ASER"
"PAK",2016,0.471004400869032,0.515570163222105,17951,"Grade & Location",5,"Rural",,"ASER"
"TZA",2015,0.314065116915671,0.511704499866931,8257,"Grade & Location",3,"Rural",,"ASER"
"TZA",2015,0.486651579494826,0.695024598137258,2670,"Grade & Location",3,"Urban",,"ASER"
"TZA",2015,0.523202747634315,0.576064304331964,13,"Grade & Location",3,,,"ASER"
"TZA",2015,0.619629951213114,0.78430387078503,6673,"Grade & Location",5,"Rural",,"ASER"
"TZA",2015,0.74394883469239,0.871356748910348,2234,"Grade & Location",5,"Urban",,"ASER"
"TZA",2015,0.551352814857719,0.899799486691751,9,"Grade & Location",5,,,"ASER"
"UGA",2015,0.288407217517104,0.13755553283181,11137,"Grade & Location",3,"Rural",,"ASER"
"UGA",2015,0.379682835558916,0.289021502208888,1596,"Grade & Location",3,"Urban",,"ASER"
"UGA",2015,0.589648258513974,0.453412837634429,8484,"Grade & Location",5,"Rural",,"ASER"
"UGA",2015,0.663000583151903,0.684184774356017,1225,"Grade & Location",5,"Urban",,"ASER"
"KEN",2015,0.456002645218203,0.426098479804728,6696,"Grade & Sex",3,,"Male","ASER"
"KEN",2015,0.493659569415069,0.49964458706001,6429,"Grade & Sex",3,,"Female","ASER"
"KEN",2015,0.763759023018403,0.777868308435563,5839,"Grade & Sex",5,,"Male","ASER"
"KEN",2015,0.785008308720208,0.824702019642614,5800,"Grade & Sex",5,,"Female","ASER"
"MEX",2016,0.192393736017897,0.675615212527964,447,"Grade & Sex",3,,"Male","ASER"
"MEX",2016,0.1975,0.705,400,"Grade & Sex",3,,"Female","ASER"
"MEX",2016,0.386473429951691,0.804347826086957,414,"Grade & Sex",5,,"Male","ASER"
"MEX",2016,0.514423076923077,0.882211538461538,416,"Grade & Sex",5,,"Female","ASER"
"MOZ",2016,0.0163132137030995,0.00978792822185971,613,"Grade & Sex",3,,"Male","ASER"
"MOZ",2016,0.003690036900369,0.0129151291512915,542,"Grade & Sex",3,,"Female","ASER"
