"iso_code3","year","grade","level","survey","COUNTRY","iso_num","category","Wealth","Sex","Location","Language","mlevel1_m","mlevel2_m","mlevel3_m","mlevel4_m","mlevel1_se","mlevel2_se","mlevel3_se","mlevel4_se","mlevel1_no","mlevel2_no","mlevel3_no","mlevel4_no","rlevel1_m","rlevel2_m","rlevel3_m","rlevel4_m","rlevel1_se","rlevel2_se","rlevel3_se","rlevel4_se","rlevel1_no","rlevel2_no","rlevel3_no","rlevel4_no","slevel1_m","slevel2_m","slevel3_m","slevel4_m","slevel1_se","slevel2_se","slevel3_se","slevel4_se","slevel1_no","slevel2_no","slevel3_no","slevel4_no"
"ECU",2014,,"Upper secondary","PISA-D","Ecuador",218,"Total",,,,,0.601,0.2907,0.0886,0.0117,0.0164,0.0159,0.0082,0.0027,3401,1638,481,71,,,,,,,,,,,,,,,,,,,,,,,,
"GTM",2015,,"Upper secondary","PISA-D","Guatemala",320,"Total",,,,,0.3635,0.1064,0.0165,8e-04,0.0191,0.014,0.0043,6e-04,1920,549,85,6,,,,,,,,,,,,,,,,,,,,,,,,
"HND",2016,,"Upper secondary","PISA-D","Honduras",340,"Total",,,,,0.4132,0.1544,0.0406,0.0065,0.0186,0.0155,0.0079,0.0023,2019,776,220,35,,,,,,,,,,,,,,,,,,,,,,,,
"KHM",2016,,"Upper secondary","PISA-D","Cambodia",116,"Total",,,,,0.3321,0.0988,0.0147,0.001,0.0153,0.0081,0.0028,7e-04,1647,521,70,3,,,,,,,,,,,,,,,,,,,,,,,,
"PRY",2015,,"Upper secondary","PISA-D","Paraguay",600,"Total",,,,,0.3278,0.0835,0.007,5e-04,0.0189,0.0094,0.0019,4e-04,1579,401,35,2,,,,,,,,,,,,,,,,,,,,,,,,
"SEN",2015,,"Upper secondary","PISA-D","Senegal",686,"Total",,,,,0.2421,0.0771,0.0187,0.0035,0.0118,0.006,0.0031,0.0016,1270,415,101,22,,,,,,,,,,,,,,,,,,,,,,,,
"ZMB",2014,,"Upper secondary","PISA-D","Zambia",894,"Total",,,,,0.0988,0.023,0.0027,0,0.0143,0.0058,0.0012,2e-04,613,147,17,2,,,,,,,,,,,,,,,,,,,,,,,,
"ECU",2014,,"Upper secondary","PISA-D","Ecuador",218,"Wealth","1",,,,0.4362,0.1434,0.0283,0.0027,0.024,0.0183,0.0087,0.002,496,160,23,2,,,,,,,,,,,,,,,,,,,,,,,,
"ECU",2014,,"Upper secondary","PISA-D","Ecuador",218,"Wealth","2",,,,0.4894,0.1546,0.0327,0.0024,0.0205,0.0146,0.0061,0.002,556,178,38,4,,,,,,,,,,,,,,,,,,,,,,,,
"ECU",2014,,"Upper secondary","PISA-D","Ecuador",218,"Wealth","3",,,,0.5693,0.2411,0.0626,0.0079,0.0207,0.0183,0.0102,0.0043,626,268,66,9,,,,,,,,,,,,,,,,,,,,,,,,
