"iso_code3","year","grade","level","survey","COUNTRY","iso_num","category","Sex","Location","Language","Wealth","mlevel1_m","mlevel2_m","mlevel3_m","mlevel4_m","mlevel1_se","mlevel2_se","mlevel3_se","mlevel4_se","mlevel1_no","mlevel2_no","mlevel3_no","mlevel4_no","slevel1_m","slevel2_m","slevel3_m","slevel4_m","slevel1_se","slevel2_se","slevel3_se","slevel4_se","slevel1_no","slevel2_no","slevel3_no","slevel4_no"
"Abu Dhabi, UAE",2019,4,"Primary","TIMSS","Abu Dhabi, UAE",7842,"Total",,,,,0.6444,0.3683,0.1452,0.0548,0.011,0.0098,0.0063,0.0032,5824,3303,1313,518,,,,,,,,,,,,
"ALB",2019,4,"Primary","TIMSS","Albania",8,"Total",,,,,0.8638,0.6175,0.2576,0.0952,0.0129,0.0176,0.0142,0.0085,3865,2794,1192,457,,,,,,,,,,,,
"ARE",2019,4,"Primary","TIMSS","United Arab Emirates",784,"Total",,,,,0.8004,0.589,0.3187,0.1653,0.0255,0.0346,0.0326,0.0256,1819,1288,692,364,,,,,,,,,,,,
"ARM",2019,4,"Primary","TIMSS","Armenia",51,"Total",,,,,0.9168,0.6434,0.2252,0.0627,0.0074,0.0159,0.0136,0.0079,4953,3484,1179,290,,,,,,,,,,,,
"AUT",2019,4,"Primary","TIMSS","Austria",40,"Total",,,,,0.9736,0.8166,0.4202,0.1525,0.0072,0.0165,0.0207,0.0139,1910,1610,814,305,,,,,,,,,,,,
"AZE",2019,4,"Primary","TIMSS","Azerbaijan",31,"Total",,,,,0.919,0.7175,0.3564,0.1479,0.0078,0.015,0.0128,0.0077,4865,3929,2072,868,,,,,,,,,,,,
"Belgium (Flemish)",2019,4,"Primary","TIMSS","Belgium (Flemish)",956,"Total",,,,,0.9739,0.8015,0.4036,0.1619,0.0039,0.0117,0.0117,0.0085,4543,3721,1862,752,,,,,,,,,,,,
"BGR",2019,4,"Primary","TIMSS","Bulgaria",100,"Total",,,,,0.8951,0.7086,0.3743,0.1552,0.0147,0.0193,0.017,0.0104,3986,3340,1873,844,,,,,,,,,,,,
"BHR",2019,4,"Primary","TIMSS","Bahrain",48,"Total",,,,,0.814,0.5418,0.2102,0.076,0.0102,0.0123,0.0101,0.0074,4736,3157,1232,423,,,,,,,,,,,,
"BIH",2019,4,"Primary","TIMSS","Bosnia and Herzegovina",70,"Total",,,,,0.7633,0.3955,0.0876,0.0165,0.0114,0.0149,0.0073,0.0024,4298,2272,498,98,,,,,,,,,,,,
