"iso_code3","category","Sex","Language","Location","mlevel1_m","mlevel1_se","mlevel1_no","year","grade","level","survey","rlevel1_m","rlevel1_se","rlevel1_no","Wealth","slevel1_m","slevel1_se","slevel1_no","COUNTRY","iso_num"
"BDI","Total",,,,0.9666,0.0097,826,2014,2,"Primary","PASEC",,,,,,,,"Burundi",108
"BEN","Total",,,,0.3358,0.0292,236,2014,2,"Primary","PASEC",,,,,,,,"Benin",204
"BFA","Total",,,,0.5923,0.0302,550,2014,2,"Primary","PASEC",,,,,,,,"Burkina Faso",854
"CIV","Total",,,,0.3378,0.0301,283,2014,2,"Primary","PASEC",,,,,,,,"Côte d'Ivoire",384
"CMR","Total",,,,0.5534,0.0546,603,2014,2,"Primary","PASEC",,,,,,,,"Cameroon",120
"COG","Total",,,,0.7087,0.0304,663,2014,2,"Primary","PASEC",,,,,,,,"Congo",178
"NER","Total",,,,0.2778,0.029,236,2014,2,"Primary","PASEC",,,,,,,,"Niger",562
"SEN","Total",,,,0.6233,0.0365,472,2014,2,"Primary","PASEC",,,,,,,,"Senegal",686
"TCD","Total",,,,0.4798,0.0447,406,2014,2,"Primary","PASEC",,,,,,,,"Chad",148
"TGO","Total",,,,0.4128,0.0274,323,2014,2,"Primary","PASEC",,,,,,,,"Togo",768
"BDI","Sex","Male",,,0.9648,0.0133,381,2014,2,"Primary","PASEC",,,,,,,,"Burundi",108
"BDI","Sex","Female",,,0.9682,0.0111,445,2014,2,"Primary","PASEC",,,,,,,,"Burundi",108
"BEN","Sex","Male",,,0.316,0.031,110,2014,2,"Primary","PASEC",,,,,,,,"Benin",204
"BEN","Sex","Female",,,0.3571,0.0467,126,2014,2,"Primary","PASEC",,,,,,,,"Benin",204
"BFA","Sex","Male",,,0.6084,0.0425,294,2014,2,"Primary","PASEC",,,,,,,,"Burkina Faso",854
"BFA","Sex","Female",,,0.5768,0.0384,256,2014,2,"Primary","PASEC",,,,,,,,"Burkina Faso",854
"CIV","Sex","Male",,,0.3921,0.0356,170,2014,2,"Primary","PASEC",,,,,,,,"Côte d'Ivoire",384
"CIV","Sex","Female",,,0.28,0.036,113,2014,2,"Primary","PASEC",,,,,,,,"Côte d'Ivoire",384
"CMR","Sex","Male",,,0.598,0.0672,300,2014,2,"Primary","PASEC",,,,,,,,"Cameroon",120
"CMR","Sex","Female",,,0.5104,0.0519,303,2014,2,"Primary","PASEC",,,,,,,,"Cameroon",120
"COG","Sex","Male",,,0.7179,0.0491,316,2014,2,"Primary","PASEC",,,,,,,,"Congo",178
"COG","Sex","Female",,,0.6996,0.0351,347,2014,2,"Primary","PASEC",,,,,,,,"Congo",178
"NER","Sex","Male",,,0.3076,0.0336,144,2014,2,"Primary","PASEC",,,,,,,,"Niger",562
"NER","Sex","Female",,,0.2385,0.0344,92,2014,2,"Primary","PASEC",,,,,,,,"Niger",562
"SEN","Sex","Male",,,0.6612,0.0481,240,2014,2,"Primary","PASEC",,,,,,,,"Senegal",686
"SEN","Sex","Female",,,0.5826,0.0436,232,2014,2,"Primary","PASEC",,,,,,,,"Senegal",686
"TCD","Sex","Male",,,0.6003,0.0474,282,2014,2,"Primary","PASEC",,,,,,,,"Chad",148
"TCD","Sex","Female",,,0.3486,0.0557,124,2014,2,"Primary","PASEC",,,,,,,,"Chad",148
"TGO","Sex","Male",,,0.435,0.0357,187,2014,2,"Primary","PASEC",,,,,,,,"Togo",768
"TGO","Sex","Female",,,0.3876,0.0442,136,2014,2,"Primary","PASEC",,,,,,,,"Togo",768
"BDI","Language",,"Yes",,0.9672,0.0102,800,2014,2,"Primary","PASEC",,,,,,,,"Burundi",108
"BDI","Language",,"No",,1,0,3,2014,2,"Primary","PASEC",,,,,,,,"Burundi",108
"BEN","Language",,"Yes",,0.4586,0.0524,120,2014,2,"Primary","PASEC",,,,,,,,"Benin",204
"BEN","Language",,"No",,0.2677,0.0275,114,2014,2,"Primary","PASEC",,,,,,,,"Benin",204
"BFA","Language",,"Yes",,0.6874,0.0379,234,2014,2,"Primary","PASEC",,,,,,,,"Burkina Faso",854
"BFA","Language",,"No",,0.5354,0.0381,312,2014,2,"Primary","PASEC",,,,,,,,"Burkina Faso",854
"CIV","Language",,"Yes",,0.412,0.0388,190,2014,2,"Primary","PASEC",,,,,,,,"Côte d'Ivoire",384
