iso_code3,country,year,country_year,survey,category,location,sex,wealth,region,ethnicity,religion,comp_prim_v2,comp_lowsec_v2,comp_upsec_v2,comp_prim_1524,comp_lowsec_1524,comp_upsec_2029,eduyears_2024,edu2_2024,edu4_2024,eduout_prim,eduout_lowsec,eduout_upsec,comp_prim_v2_no,comp_lowsec_v2_no,comp_upsec_v2_no,comp_prim_1524_no,comp_lowsec_1524_no,comp_upsec_2029_no,eduyears_2024_no,edu2_2024_no,edu4_2024_no,eduout_prim_no,eduout_lowsec_no,eduout_upsec_no,adjustment,comp_prim_aux,comp_lowsec_aux,year_uis
GEO,Georgia,2018,Georgia_2018,MICS,Ethnicity,,,,,Armenian,,100,100,76.025604,99.831795,97.890404,80.291061,15.522582,0,0,4.1413836,0,15.920941,62,65,57,200,200,242,98,98,98,171,61,60,,1,.993864,
GEO,Georgia,2018,Georgia_2018,MICS,Ethnicity,,,,,Azeri,,100,81.561783,53.216087,98.032883,84.046783,56.999977,14.962009,0,1.1600558,3.486552,5.4378643,35.824539,67,69,69,227,227,257,108,108,108,167,79,81,,.96674514,.88755083,
GEO,Georgia,2018,Georgia_2018,MICS,Ethnicity,,,,,Georgian,,99.89135,99.019531,85.099564,99.490181,97.77803,89.630569,15.82734,0,.20865719,1.7383026,.8076663,9.9907427,1172,959,1001,3492,3492,4118,1741,1741,1741,2919,1200,1176,,.99589145,.98166555,
GEO,Georgia,2018,Georgia_2018,MICS,Ethnicity,,,,,Other,,100,91.250267,,98.461884,93.398491,71.682396,13.55099,0,0,6.3079872,2.5090213,24.83304,35,32,24,91,91,100,35,35,35,76,31,31,,.94478601,.97652942,
GEO,Georgia,2018,Georgia_2018,MICS,Location,Rural,,,,,,99.986916,95.134995,72.390228,98.936501,94.592781,79.861008,16.207973,0,.61985117,2.6670666,1.2663087,14.156254,713,590,614,2121,2121,2484,1046,1046,1046,1697,742,710,,.98411214,.94805354,
GEO,Georgia,2018,Georgia_2018,MICS,Location,Urban,,,,,,99.852684,99.096657,86.540993,99.642746,97.950974,90.259033,15.421746,0,.055726387,1.7190374,1.1563392,11.456513,623,535,538,1890,1890,2235,937,937,937,1636,629,638,,.99792397,.98994362,
GEO,Georgia,2018,Georgia_2018,MICS,Location & Ethnicity,Rural,,,,Armenian,,100,100,95.375626,100,95.226479,93.095848,17.93227,0,0,2.8978834,0,1.8730799,45,38,37,128,128,155,61,61,61,105,43,40,,1,.97687811,
GEO,Georgia,2018,Georgia_2018,MICS,Location & Ethnicity,Rural,,,,Azeri,,100,81.54892,55.121803,97.390327,82.597572,57.635975,15.593907,0,1.6071575,4.4833398,5.7743998,39.216995,52,59,55,180,180,207,84,84,84,129,62,61,,.96110362,.86638439,
GEO,Georgia,2018,Georgia_2018,MICS,Location & Ethnicity,Rural,,,,Georgian,,99.983276,98.381508,74.521538,99.241707,97.120949,83.553612,16.228024,0,.49541408,2.2873931,.45583686,9.9559631,597,471,512,1761,1761,2075,883,883,883,1427,617,590,,.9919799,.96381843,
GEO,Georgia,2018,Georgia_2018,MICS,Location & Ethnicity,Rural,,,,Other,,,,,95.640396,81.288818,68.198105,,,,3.1587694,,,19,22,10,52,52,47,18,18,18,36,20,19,,.8874312,.87933159,
GEO,Georgia,2018,Georgia_2018,MICS,Location & Ethnicity,Urban,,,,Armenian,,,,,99.755127,99.104576,73.589195,14.61729,0,0,5.0153699,,,17,27,20,72,72,87,37,37,37,66,18,20,,1,1,
GEO,Georgia,2018,Georgia_2018,MICS,Location & Ethnicity,Urban,,,,Azeri,,,,,100,88.483398,54.584759,,,,0,,,15,10,14,47,47,50,24,24,24,38,17,20,,1,.9454242,
GEO,Georgia,2018,Georgia_2018,MICS,Location & Ethnicity,Urban,,,,Georgian,,99.839386,99.311508,90.256027,99.615318,98.10894,92.731987,15.624507,0,.063495934,1.4706115,1.0052844,10.00937,575,488,489,1731,1731,2043,858,858,858,1492,583,586,,.9976815,.99036551,
