iso_code3,country_year,country,year,age,no_attend,attend,attend_preschool,attend_primary,attend_secondary,attend_higher
AFG,Afghanistan_2015,Afghanistan,2015,0,1,0,,,,
AFG,Afghanistan_2015,Afghanistan,2015,1,1,0,,,,
AFG,Afghanistan_2015,Afghanistan,2015,2,1,0,,,,
AFG,Afghanistan_2015,Afghanistan,2015,3,1,0,,,,
AFG,Afghanistan_2015,Afghanistan,2015,4,1,0,,,,
AFG,Afghanistan_2015,Afghanistan,2015,5,.93947059,.060529418,0,.99465048,.0053495369,0
AFG,Afghanistan_2015,Afghanistan,2015,6,.80834156,.19165847,0,.99913853,.00086143881,0
AFG,Afghanistan_2015,Afghanistan,2015,7,.52902919,.47097081,0,.99830741,.0016925833,0
AFG,Afghanistan_2015,Afghanistan,2015,8,.41074005,.58925992,0,.99723858,.0027614215,0
AFG,Afghanistan_2015,Afghanistan,2015,9,.32633409,.67366594,0,.99674445,.0032555687,0
AFG,Afghanistan_2015,Afghanistan,2015,10,.31164497,.68835503,0,.98278368,.017216353,0
AFG,Afghanistan_2015,Afghanistan,2015,11,.2974768,.70252323,0,.94467753,.05529353,.000028951234
AFG,Afghanistan_2015,Afghanistan,2015,12,.31574741,.68425262,0,.83400923,.16599077,0
AFG,Afghanistan_2015,Afghanistan,2015,13,.33876613,.6612339,0,.64896411,.35103586,0
AFG,Afghanistan_2015,Afghanistan,2015,14,.38814253,.61185747,0,.34470552,.6552484,.000046057332
AFG,Afghanistan_2015,Afghanistan,2015,15,.44096726,.55903274,0,.19175878,.8012979,.0069433302
AFG,Afghanistan_2015,Afghanistan,2015,16,.49545556,.50454444,0,.13291039,.85672218,.010367434
AFG,Afghanistan_2015,Afghanistan,2015,17,.54502624,.45497376,0,.055162564,.916363,.028474463
AFG,Afghanistan_2015,Afghanistan,2015,18,.64449668,.35550335,0,.041447699,.84157026,.11698203
AFG,Afghanistan_2015,Afghanistan,2015,19,.68127418,.31872582,0,.017472984,.67962849,.3028985
AFG,Afghanistan_2015,Afghanistan,2015,20,.78665948,.21334052,0,.018899877,.55750209,.42359802
AFG,Afghanistan_2015,Afghanistan,2015,21,.79746109,.20253892,0,.022906268,.46150979,.51558393
AFG,Afghanistan_2015,Afghanistan,2015,22,.8278237,.17217633,0,.026485143,.31265736,.6608575
AFG,Afghanistan_2015,Afghanistan,2015,23,.86879957,.13120042,0,.011432609,.23340987,.75515753
AFG,Afghanistan_2015,Afghanistan,2015,24,.88390416,.11609584,0,.047068369,.31185848,.64107317
AFG,Afghanistan_2015,Afghanistan,2015,25,1,0,,,,
AFG,Afghanistan_2015,Afghanistan,2015,26,1,0,,,,
AFG,Afghanistan_2015,Afghanistan,2015,27,1,0,,,,
AFG,Afghanistan_2015,Afghanistan,2015,28,1,0,,,,
AFG,Afghanistan_2015,Afghanistan,2015,29,1,0,,,,
AFG,Afghanistan_2015,Afghanistan,2015,30,1,0,,,,
AFG,Afghanistan_2015,Afghanistan,2015,31,1,0,,,,
AFG,Afghanistan_2015,Afghanistan,2015,32,1,0,,,,
AFG,Afghanistan_2015,Afghanistan,2015,33,1,0,,,,
AFG,Afghanistan_2015,Afghanistan,2015,34,1,0,,,,
AFG,Afghanistan_2015,Afghanistan,2015,35,1,0,,,,
AFG,Afghanistan_2015,Afghanistan,2015,36,1,0,,,,
AFG,Afghanistan_2015,Afghanistan,2015,37,1,0,,,,
AFG,Afghanistan_2015,Afghanistan,2015,38,1,0,,,,
AFG,Afghanistan_2015,Afghanistan,2015,39,1,0,,,,
AFG,Afghanistan_2015,Afghanistan,2015,40,1,0,,,,
AFG,Afghanistan_2015,Afghanistan,2015,41,1,0,,,,
AFG,Afghanistan_2015,Afghanistan,2015,42,1,0,,,,
AFG,Afghanistan_2015,Afghanistan,2015,43,1,0,,,,
AFG,Afghanistan_2015,Afghanistan,2015,44,1,0,,,,
AFG,Afghanistan_2015,Afghanistan,2015,45,1,0,,,,
AFG,Afghanistan_2015,Afghanistan,2015,46,1,0,,,,
AFG,Afghanistan_2015,Afghanistan,2015,47,1,0,,,,
AFG,Afghanistan_2015,Afghanistan,2015,48,1,0,,,,
AFG,Afghanistan_2015,Afghanistan,2015,49,1,0,,,,
AFG,Afghanistan_2015,Afghanistan,2015,50,1,0,,,,
AFG,Afghanistan_2015,Afghanistan,2015,51,1,0,,,,
AFG,Afghanistan_2015,Afghanistan,2015,52,1,0,,,,
AFG,Afghanistan_2015,Afghanistan,2015,53,1,0,,,,
AFG,Afghanistan_2015,Afghanistan,2015,54,1,0,,,,
AFG,Afghanistan_2015,Afghanistan,2015,55,1,0,,,,
AFG,Afghanistan_2015,Afghanistan,2015,56,1,0,,,,
AFG,Afghanistan_2015,Afghanistan,2015,57,1,0,,,,
AFG,Afghanistan_2015,Afghanistan,2015,58,1,0,,,,
AFG,Afghanistan_2015,Afghanistan,2015,59,1,0,,,,
AFG,Afghanistan_2015,Afghanistan,2015,60,1,0,,,,
AFG,Afghanistan_2015,Afghanistan,2015,61,1,0,,,,
AFG,Afghanistan_2015,Afghanistan,2015,62,1,0,,,,
AFG,Afghanistan_2015,Afghanistan,2015,63,1,0,,,,
AFG,Afghanistan_2015,Afghanistan,2015,64,1,0,,,,
AFG,Afghanistan_2015,Afghanistan,2015,65,1,0,,,,
AFG,Afghanistan_2015,Afghanistan,2015,66,1,0,,,,
AFG,Afghanistan_2015,Afghanistan,2015,67,1,0,,,,
AFG,Afghanistan_2015,Afghanistan,2015,68,1,0,,,,
AFG,Afghanistan_2015,Afghanistan,2015,69,1,0,,,,
AFG,Afghanistan_2015,Afghanistan,2015,70,1,0,,,,
