iso_code3,country,survey,year,category,sex,wealth,region,location,comp_prim_v2_m,comp_lowsec_v2_m,comp_upsec_v2_m,comp_prim_1524_m,comp_lowsec_1524_m,eduyears_2024_m,preschool_1ybefore_m,attend_higher_1822_m,comp_higher_2yrs_2529_m,comp_higher_4yrs_2529_m,comp_higher_4yrs_3034_m,eduout_prim_m,eduout_lowsec_m,eduout_upsec_m,edu0_prim_m,edu2_2024_m,edu4_2024_m,overage2plus_m,literacy_1524,comp_upsec_2029_m,comp_prim_v2_no,comp_lowsec_v2_no,comp_upsec_v2_no,comp_prim_1524_no,comp_lowsec_1524_no,eduyears_2024_no,preschool_1ybefore_no,attend_higher_1822_no,comp_higher_2yrs_2529_no,comp_higher_4yrs_2529_no,comp_higher_4yrs_3034_no,eduout_prim_no,eduout_lowsec_no,eduout_upsec_no,edu0_prim_no,edu2_2024_no,edu4_2024_no,overage2plus_no,literacy_1524_no,comp_upsec_2029_no
BEN,Benin,EHCVM,2018,Total,,,,,.75580359,.53105795,.24494973,.68894589,.5085606,6.7850327,1,.047280155,.094023392,.082004659,.069399618,.27558061,.37185958,.51550627,.20549597,.36326987,.36326987,.43889782,.5085606,,2754,2251,1806,7233,7233,3181,149,3459,2909,2909,2668,8011,4222,2349,4886,3181,3181,11377,7233,
BEN,Benin,EHCVM,2018,Region,,,Alibori,,.33978799,.29581374,.088139899,.35779461,.23615301,3.0960889,,.01292508,.007760108,.007760108,.013819193,.56202573,.72240263,.7656219,.56923181,.67090082,.67090082,.36355948,.23615301,,183,161,124,477,477,208,0,237,222,222,178,684,291,155,388,208,208,427,477,
BEN,Benin,EHCVM,2018,Region,,,Atacora,,.55060464,.31977883,.13967194,.48473048,.30081022,4.2047849,,.0070665446,.017084701,.017084701,.019259848,.4716664,.48151147,.72262281,.33519244,.55973494,.55973494,.43574306,.30081022,,200,171,141,553,553,268,5,265,239,239,188,685,305,164,391,268,268,668,553,
BEN,Benin,EHCVM,2018,Region,,,Atlantique,,.90030402,.61698884,.3192203,.84401751,.61820316,8.8808117,,.086238697,.1688136,.14094296,.11474214,.1184757,.29884481,.45791781,.050124213,.18435626,.18435626,.45682856,.61820316,,326,257,227,862,862,387,14,401,357,357,364,840,471,261,499,387,387,1507,862,
BEN,Benin,EHCVM,2018,Region,,,Borgou,,.52194548,.45890552,.21783449,.51720899,.40670079,5.5280504,,.055574529,.082659386,.078070603,.036055997,.48863724,.57766825,.66540825,.42837226,.5062142,.5062142,.42865583,.40670079,,245,252,168,698,698,312,9,357,320,320,283,875,374,226,503,312,312,812,698,
BEN,Benin,EHCVM,2018,Region,,,Collines,,.79178607,.64687192,.1951177,.70117575,.55846608,6.4685473,,.01809025,.032660522,.03057556,.030239385,.17460652,.30557007,.42775986,.1215612,.41422299,.41422299,.43734375,.55846608,,263,187,116,604,604,223,15,261,233,233,182,642,390,219,403,223,223,1065,604,
BEN,Benin,EHCVM,2018,Region,,,Couffo,,.733172,.39823833,.15687981,.67707914,.46399689,6.4900818,,.0061863959,.049260415,.036333542,.051570967,.26233035,.41337696,.54366827,.17626318,.34076908,.34076908,.37526056,.46399689,,202,130,100,437,437,174,3,190,138,138,166,577,297,156,367,174,174,749,437,
BEN,Benin,EHCVM,2018,Region,,,Donga,,.75256813,.40584767,.045129213,.5550108,.34482607,4.0650282,,.0049148207,.011883787,.0077756187,.010352135,.33906111,.38055283,.56696212,.23064123,.5552749,.5552749,.38707247,.34482607,,211,203,161,613,613,284,18,328,265,265,287,788,340,190,455,284,284,908,613,
BEN,Benin,EHCVM,2018,Region,,,Littoral,,.89520347,.77629459,.3930079,.87264532,.72563177,9.7735538,1,.16696833,.2627309,.23470294,.29101285,.093272395,.19132389,.26817545,.045735192,.17607816,.17607816,.5077107,.72563177,,194,169,146,565,565,255,31,270,257,257,229,488,306,189,309,255,255,1005,565,
BEN,Benin,EHCVM,2018,Region,,,Mono,,.89553773,.72814614,.23374808,.83829224,.60384387,8.187562,,.029598754,.058401924,.037843358,.028063746,.13723582,.16604523,.41839421,.065662026,.19097535,.19097535,.46666321,.60384387,,207,159,136,544,544,236,14,249,235,235,192,586,347,181,367,236,236,1059,544,
