iso_code,country,survey,year,category,disability,hh_edu_head,sex,comp_prim_v2_m,comp_lowsec_v2_m,comp_upsec_v2_m,overage2plus_m,eduout_prim_m,eduout_lowsec_m,eduout_upsec_m,edu0_prim_m,preschool_3_m,attend_higher_1822_m,comp_higher_2yrs_2529_m,comp_higher_4yrs_2529_m,comp_higher_4yrs_3034_m,comp_lowsec_1524_m,comp_prim_1524_m,comp_upsec_2029_m,edu4_2024_m,eduyears_2024_m,literacy_1524_m,preschool_1ybefore_m,comp_prim_v2_no,comp_lowsec_v2_no,comp_upsec_v2_no,overage2plus_no,eduout_prim_no,eduout_lowsec_no,eduout_upsec_no,edu0_prim_no,preschool_3_no,attend_higher_1822_no,comp_higher_2yrs_2529_no,comp_higher_4yrs_2529_no,comp_higher_4yrs_3034_no,comp_lowsec_1524_no,comp_prim_1524_no,comp_upsec_2029_no,edu4_2024_no,eduyears_2024_no,literacy_1524_no,preschool_1ybefore_no
ARG,Argentina,MICS,2020,Household education,,Completed post-secondary or higher,,,.21618897,.34825313,.97271001,,,,.0015021745,,.020946145,.41105205,.12066411,.25658637,.45561594,.66483629,.5333159,.15169768,16.471443,,,26,36,36,84,5,,3,59,,22,92,92,61,117,117,152,62,62,,
ARG,Argentina,MICS,2019,Disability,At least one functional difficulty,,,.90759426,.94471723,,.3997137,,,,.017452307,,,,,,,,,,,,,173,44,0,769,8,5,26,243,,,,,,,,,,,,
ARG,Argentina,MICS,2020,Household education,,Not completed primary,,.12071802,.1860832,.093952648,.99636018,,,,.00043617128,,.034750458,.22922753,.22874442,.24664056,.16770805,.28419438,.10680506,.49543408,5.2035437,,,144,193,147,503,13,4,16,238,,36,365,365,284,558,558,561,266,266,,
ARG,Argentina,MICS,2020,Household education,,Completed upper secondary,,.13825206,.35239005,.33395541,.98369062,.45019615,,.5143342,.0062568258,,.048444845,.086988598,.050367299,.033913288,.41552004,.60664785,.44932917,.17062348,9.3036242,,,687,635,698,1589,47,16,94,922,,315,1091,1091,821,2176,2176,2158,1091,1091,,1
ARG,Argentina,MICS,2020,Household education,,Completed primary,,.16791898,.21514933,.21767585,.98857063,,,.72077423,.0029338582,,.039320074,.038576473,.037035007,.026871707,.25705823,.59949762,.1665305,.14195672,9.53193,,,446,414,404,1044,28,12,71,624,,305,689,689,627,1395,1395,1356,689,689,,
ARG,Argentina,MICS,2019,Disability & Sex,At least one functional difficulty,,Female,.89574409,,,.442835,,,,.032315958,,,,,,,,,,,,,93,26,0,376,2,1,13,115,,,,,,,,,,,,
ARG,Argentina,MICS,2019,Disability & Sex,"At least one sensory, physical or intellectual difficulty",,Female,,,,.47341138,,,,.10952298,,,,,,,,,,,,,21,7,0,92,0,1,5,39,,,,,,,,,,,,
ARG,Argentina,MICS,2019,Disability & Sex,"At least one sensory, physical or intellectual difficulty",,Male,,,,.30353335,,,,.0042954753,,,,,,,,,,,,,24,3,0,92,1,2,4,33,,,,,,,,,,,,
ARG,Argentina,MICS,2020,Household education,,Completed lower secondary,,.090430409,.28363147,.130566,.98519844,.5222562,,.65292698,.00082363648,,.047004424,.038161103,.030677617,.028357262,.3427763,.49727005,.13572401,.24606444,8.4011889,,,768,735,673,1986,79,20,72,1278,1,308,1386,1386,1475,2465,2465,2552,1186,1186,,2
ARG,Argentina,MICS,2019,Disability,"At least one sensory, physical or intellectual difficulty",,,.8577987,,,.39295807,,,,.060351577,,,,,,,,,,,,,45,10,0,184,1,3,9,72,,,,,,,,,,,,
ARG,Argentina,MICS,2019,Disability & Sex,At least one functional difficulty,,Male,.92330146,,,.35297239,,,,.0012145445,,,,,,,,,,,,,80,18,0,393,6,4,13,128,,,,,,,,,,,,
BGD,Bangladesh,MICS,2019,Household education,,Completed upper secondary,,.97824854,.92171663,.65538877,.020417718,.083004087,.038045999,.10069752,.017179035,.89272487,.37841249,.26436269,.14617243,.063180193,.90701151,.9760828,.66882855,.0070161186,11.705742,.91727513,.71300286,492,459,489,893,873,524,618,724,122,806,799,799,760,1586,1586,1600,794,794,1570,160
