year,category,disability,sex,iso_code,comp_prim_v2_m,comp_lowsec_v2_m,comp_upsec_v2_m,overage2plus_m,eduout_prim_m,eduout_lowsec_m,eduout_upsec_m,edu0_prim_m,comp_prim_v2_no,comp_lowsec_v2_no,comp_upsec_v2_no,overage2plus_no,eduout_prim_no,eduout_lowsec_no,eduout_upsec_no,edu0_prim_no,survey,preschool_3_m,preschool_3_no,attend_higher_1822_m,comp_higher_2yrs_2529_m,comp_higher_4yrs_2529_m,comp_higher_4yrs_3034_m,comp_lowsec_1524_m,comp_prim_1524_m,comp_upsec_2029_m,edu4_2024_m,eduyears_2024_m,literacy_1524_m,attend_higher_1822_no,comp_higher_2yrs_2529_no,comp_higher_4yrs_2529_no,comp_higher_4yrs_3034_no,comp_lowsec_1524_no,comp_prim_1524_no,comp_upsec_2029_no,edu4_2024_no,eduyears_2024_no,literacy_1524_no,hh_edu_head,preschool_1ybefore_m,preschool_1ybefore_no,country
2020,Household education,,,ARG,,.21618897,.34825313,.97271001,,,,.0015021745,26,36,36,84,5,,3,59,MICS,,,.020946145,.41105205,.12066411,.25658637,.45561594,.66483629,.5333159,.15169768,16.471443,,22,92,92,61,117,117,152,62,62,,Completed post-secondary or higher,,,Argentina
2020,Household education,,,ARG,.13825206,.35239005,.33395541,.98369062,.45019615,,.5143342,.0062568258,687,635,698,1589,47,16,94,922,MICS,,,.048444845,.086988598,.050367299,.033913288,.41552004,.60664785,.44932917,.17062348,9.3036242,,315,1091,1091,821,2176,2176,2158,1091,1091,,Completed upper secondary,,1,Argentina
2019,Disability,"At least one sensory, physical or intellectual difficulty",,ARG,.9771713,,,.39295807,,,,.060351577,45,10,0,184,1,3,9,72,MICS,,,,,,,,,,,,,,,,,,,,,,,,,,Argentina
2020,Household education,,,ARG,.12071802,.1860832,.093952648,.99636018,,,,.00043617128,144,193,147,503,13,4,16,238,MICS,,,.034750458,.22922753,.22874442,.24664056,.16770805,.28419438,.10680506,.49543408,5.2035437,,36,365,365,284,558,558,561,266,266,,Not completed primary,,,Argentina
2020,Household education,,,ARG,.090430409,.28363147,.130566,.98519844,.5222562,,.65292698,.00082363648,768,735,673,1986,79,20,72,1278,MICS,,1,.047004424,.038161103,.030677617,.028357262,.3427763,.49727005,.13572401,.24606444,8.4011889,,308,1386,1386,1475,2465,2465,2552,1186,1186,,Completed lower secondary,,2,Argentina
2019,Disability & Sex,At least one functional difficulty,Female,ARG,.99004495,,,.442835,,,,.032315958,93,26,0,376,2,1,13,115,MICS,,,,,,,,,,,,,,,,,,,,,,,,,,Argentina
2019,Disability & Sex,"At least one sensory, physical or intellectual difficulty",Female,ARG,,,,.47341138,,,,.10952298,21,7,0,92,0,1,5,39,MICS,,,,,,,,,,,,,,,,,,,,,,,,,,Argentina
2020,Household education,,,ARG,.16791898,.21514933,.21767585,.98857063,,,.72077423,.0029338582,446,414,404,1044,28,12,71,624,MICS,,,.039320074,.038576473,.037035007,.026871707,.25705823,.59949762,.1665305,.14195672,9.53193,,305,689,689,627,1395,1395,1356,689,689,,Completed primary,,,Argentina
2019,Disability & Sex,"At least one sensory, physical or intellectual difficulty",Male,ARG,,,,.30353335,,,,.0042954753,24,3,0,92,1,2,4,33,MICS,,,,,,,,,,,,,,,,,,,,,,,,,,Argentina
2019,Disability & Sex,At least one functional difficulty,Male,ARG,.99098098,,,.35297239,,,,.0012145445,80,18,0,393,6,4,13,128,MICS,,,,,,,,,,,,,,,,,,,,,,,,,,Argentina
2019,Disability,At least one functional difficulty,,ARG,.99044746,.98845309,,.3997137,,,,.017452307,173,44,0,769,8,5,26,243,MICS,,,,,,,,,,,,,,,,,,,,,,,,,,Argentina
2019,Disability,At least one functional difficulty,,BGD,.84806436,.68951941,,.13074641,.042764284,.16197342,.33975342,.073688149,581,263,0,1465,1152,648,622,921,MICS,,28,.10297331,.23170856,.19144034,.20473425,.46387964,.72176832,.13326821,.10740351,7.9884648,.54332125,89,151,151,238,156,156,263,99,99,152,,,,Bangladesh
2019,Household education,,,BGD,.75489736,.53906608,.18247792,.16278993,.17102164,.17769884,.39611951,.073996671,7871,6954,5130,12386,11036,7804,9687,9934,MICS,.89571112,776,.091013499,.25082335,.23089322,.32581982,.47673893,.75100648,.13756932,.13937722,7.5859118,.5776431,9012,6421,6421,6905,19497,19497,14376,7146,7146,19705,Not completed primary,.69868261,1561,Bangladesh
2019,Disability & Sex,"At least one sensory, physical or intellectual difficulty",Male,BGD,.53993261,.35676068,,.20984377,.063462406,.27570295,.46735823,.15117212,117,44,0,385,260,134,122,211,MICS,,3,,,,,,,,,,,,,,,,,,,,,,,,Bangladesh
2019,Household education,,,BGD,.88242042,.66048557,.21717483,.081240267,.13212316,.10000946,.27640072,.037554,2395,2040,1945,4347,4090,2519,2848,3280,MICS,.89802277,423,.11772753,.08333271,.066967741,.055737861,.57247138,.90464282,.14493972,.035964649,8.2146673,.63909793,3262,3198,3198,3463,6567,6567,6335,3060,3060,6595,Completed primary,.66685414,680,Bangladesh
2019,Disability & Sex,At least one functional difficulty,Male,BGD,.77812564,.62942231,,.14672552,.051147103,.21331502,.38222873,.070775546,339,149,0,847,624,356,375,513,MICS,,18,,,,,,,,,,,,,,,,,,,,,,,,Bangladesh
2019,Household education,,,BGD,.97244501,.92277336,.72354847,.012076807,.10187494,.0541224,.087749548,.0081364457,587,487,472,988,1024,592,695,805,MICS,.87825269,133,.41885722,.65429014,.45614791,.49060652,.92953503,.97665995,.77685869,.0013434696,12.730815,.93821847,802,925,925,967,1621,1621,1718,789,789,1609,Completed post-secondary or higher,.63070112,169,Bangladesh
2019,Disability & Sex,At least one functional difficulty,Female,BGD,.93498105,.76737905,,.10916504,.033692319,.10157841,.27839082,.077235989,242,114,0,618,528,292,247,408,MICS,,10,.10297331,.23170856,.19144034,.20473425,.46387964,.72176832,.13326821,.10740351,7.9884648,.54332125,89,151,151,238,156,156,263,99,99,152,,,,Bangladesh
2019,Disability & Sex,"At least one sensory, physical or intellectual difficulty",Female,BGD,.84835649,,,.1450901,.019194061,.22886799,.41709393,.1696897,75,27,0,268,215,109,64,174,MICS,,3,.13241448,.25734025,.22535068,.22178093,.54773861,.77302736,.17287555,.092130691,8.7172394,.60871977,59,98,98,160,94,94,162,57,57,91,,,,Bangladesh
2019,Disability,"At least one sensory, physical or intellectual difficulty",,BGD,.67225045,.45605054,,.1837658,.043129448,.25303277,.44980261,.16014104,192,71,0,653,475,243,186,385,MICS,,6,.13241448,.25734025,.22535068,.22178093,.54773861,.77302736,.17287555,.092130691,8.7172394,.60871977,59,98,98,160,94,94,162,57,57,91,,,,Bangladesh
2019,Household education,,,BGD,.97824854,.92171663,.65538877,.020417718,.083004087,.038045999,.10069752,.017179035,492,459,489,893,873,524,618,724,MICS,.89272487,122,.37841249,.26436269,.14617243,.063180193,.90701151,.9760828,.66882855,.0070161186,11.705742,.91727513,806,799,799,760,1586,1586,1600,794,794,1570,Completed upper secondary,.71300286,160,Bangladesh
2019,Household education,,,BGD,.93160653,.84479445,.4056952,.048177335,.10417343,.06395027,.15741064,.022711974,2401,2170,1984,4325,4174,2462,2969,3299,MICS,.87777102,499,.23144361,.14481096,.10347987,.044725981,.81833303,.95299262,.29339585,.012312361,10.316338,.84280187,3419,3211,3211,3624,6888,6888,6441,3171,3171,6904,Completed lower secondary,.68902826,721,Bangladesh
2019,Disability & Sex,At least one functional difficulty,Male,BLR,,,,.10267016,0,,,.0080428654,13,1,0,37,35,29,2,30,MICS,,9,,,,,,,,,,,,,,,,,,,,,,,,Belarus
2019,Household education,,,BLR,,,,,,,,,,1,3,11,5,2,,4,MICS,,5,,,,,,,,,,,4,9,9,13,5,5,10,4,4,8,Not completed primary,,2,Belarus
2019,Disability & Sex,"At least one sensory, physical or intellectual difficulty",Male,BLR,,,,,,,,,5,0,0,11,9,10,0,12,MICS,,8,,,,,,,,,,,,,,,,,,,,,,,,Belarus
2019,Household education,,,BLR,,,,,,,,,5,3,4,3,1,5,2,2,MICS,,5,,,,,,,,,,,9,8,8,11,12,12,15,7,7,13,Completed primary,,2,Belarus
2019,Disability,At least one functional difficulty,,BLR,,,,.062064581,0,0,,.043242648,20,1,0,50,48,45,8,45,MICS,,12,,,,,,,,,,,,,,,,,,,,,,,,Belarus
2019,Household education,,,BLR,1,1,.96869516,.28940549,.069798939,.0059986357,0,.0064998115,138,73,82,522,408,298,77,305,MICS,.99437118,381,.49593255,.8646034,.8095808,.84160769,.98159498,1,.98672712,0,14.36408,.95105278,154,616,616,859,397,397,860,247,247,354,Completed post-secondary or higher,.96449053,116,Belarus
2019,Disability & Sex,At least one functional difficulty,Female,BLR,,,,,,,,,7,0,0,13,13,16,6,15,MICS,,3,,,,,,,,,,,,,,,,,,,,,,,,Belarus
2019,Household education,,,BLR,1,.99225909,.93412745,.36349985,.072282545,0,.0063179797,0,313,214,248,884,652,582,200,548,MICS,.99197161,575,.29051623,.32547045,.20718794,.19694082,.95508128,.99620217,.94270438,0,12.410294,.92111325,408,957,957,1054,927,927,1469,512,512,877,Completed upper secondary,.96098304,189,Belarus
2019,Disability,"At least one sensory, physical or intellectual difficulty",,BLR,,,,,,,,,6,0,0,16,13,13,2,16,MICS,,9,,,,,,,,,,,,,,,,,,,,,,,,Belarus
2019,Household education,,,BLR,1,.99565047,.68160641,.37328598,.08881101,0,.025605259,.00080357119,113,63,73,275,209,199,67,178,MICS,.99171901,133,.15099873,.22731109,.18775479,.084403411,.94666284,.974832,.68820435,0,11.727635,.86873227,119,254,254,226,277,277,401,144,144,260,Completed lower secondary,1,37,Belarus
2019,Disability & Sex,"At least one sensory, physical or intellectual difficulty",Female,BLR,,,,,,,,,1,0,0,5,4,3,2,4,MICS,,1,,,,,,,,,,,,,,,,,,,,,,,,Belarus
