iso_code3,country,survey,year,category,sex,location,wealth,comp_lowsec_1524,comp_lowsec_1519_v2,comp_upsec_2029,comp_upsec_2024_v2,eduyears_2024,comp_higher_2yrs_2529,age,prim_dur_uis,lowsec_dur_uis,upsec_dur_uis,prim_age_uis,lowsec_age_uis,upsec_age_uis,comp_lowsec_1524_no,comp_lowsec_1519_v2_no,comp_upsec_2029_no,comp_upsec_2024_v2_no,eduyears_2024_no,comp_higher_2yrs_2529_no
AUT,AT,EU-SILC,2014,Total,,,,.97942531,.96031195,.89637429,.89681536,12.219379,.36792511,41.521053,4,4,4,6,10,14,19616,10089,19302,9527,9527,9775
AUT,AT,EU-SILC,2014,wealth,,,1,.99871278,.99862981,.85425764,.85060906,12.085334,.34897876,35.408688,4,4,4,6,10,14,4299,2566,3071,1733,1733,1338
AUT,AT,EU-SILC,2014,wealth,,,2,.99967581,1,.90461618,.91537982,12.147345,.29516512,37.31076,4,4,4,6,10,14,2666,689,3660,1977,1977,1683
AUT,AT,EU-SILC,2014,wealth,,,3,.99934465,1,.95788908,.96716052,12.575239,.33800858,38.191288,4,4,4,6,10,14,1867,183,3742,1684,1684,2058
AUT,AT,EU-SILC,2014,wealth,,,4,1,1,.98093468,.96981782,12.606916,.47494778,40.770332,4,4,4,6,10,14,635,39,2175,596,596,1579
AUT,AT,EU-SILC,2014,wealth,,,5,1,,.99306488,.99129146,12.595057,.66273272,45.48579,4,4,4,6,10,14,124,13,640,111,111,529
AUT,AT,EU-SILC,2014,wealth,,,,.96144366,.94174278,.84427124,.8682546,12.10966,.3280434,42.978992,4,4,4,6,10,14,10025,6599,6014,3426,3426,2588
AUT,AT,EU-SILC,2014,sex,Female,,,.98065263,.96125001,.89350027,.89647907,12.326636,.40487996,42.656609,4,4,4,6,10,14,9389,4789,9467,4600,4600,4867
AUT,AT,EU-SILC,2014,sex,Male,,,.97824508,.95941687,.89918572,.8971408,12.115558,.33140564,40.337936,4,4,4,6,10,14,10227,5300,9835,4927,4927,4908
AUT,AT,EU-SILC,2014,location,,Cities,,.97135168,.93311602,.8715474,.86660093,12.122874,.44309276,40.461594,4,4,4,6,10,14,4454,1914,5494,2540,2540,2954
AUT,AT,EU-SILC,2014,location,,Towns and suburbs,,.97891891,.96438289,.88073683,.87815011,12.045823,.33181122,41.768131,4,4,4,6,10,14,6473,3456,6243,3017,3017,3226
AUT,AT,EU-SILC,2014,location,,Rural (EU LFS),,.98571837,.97299385,.93279642,.93753797,12.428931,.31706563,42.10968,4,4,4,6,10,14,8689,4719,7565,3970,3970,3595
AUT,AT,EU-SILC,2014,sex wealth,Female,,1,.99904597,.99898428,.86052847,.8514452,12.107691,.33737084,37.387466,4,4,4,6,10,14,2192,1100,1980,1092,1092,888
AUT,AT,EU-SILC,2014,sex wealth,Female,,2,1,1,.92704839,.93875962,12.313254,.35713527,38.622719,4,4,4,6,10,14,1399,270,2074,1129,1129,945
AUT,AT,EU-SILC,2014,sex wealth,Female,,3,1,1,.96844018,.97671407,13.111247,.49314922,38.957531,4,4,4,6,10,14,593,43,1412,550,550,862
AUT,AT,EU-SILC,2014,sex wealth,Female,,4,1,,.99253666,.96350855,13.141037,.63187033,41.251213,4,4,4,6,10,14,161,16,654,145,145,509
AUT,AT,EU-SILC,2014,sex wealth,Female,,5,1,,.99438334,,,.79557508,46.374149,4,4,4,6,10,14,34,5,170,29,29,141
AUT,AT,EU-SILC,2014,sex wealth,Female,,,.9642778,.94588929,.84015352,.87084204,12.18744,.31458041,44.611195,4,4,4,6,10,14,5010,3355,3177,1655,1655,1522
AUT,AT,EU-SILC,2014,sex wealth,Male,,1,.99833179,.99834687,.84350049,.84917325,12.046942,.36886287,30.648207,4,4,4,6,10,14,2107,1466,1091,641,641,450
AUT,AT,EU-SILC,2014,sex wealth,Male,,2,.99927074,1,.87359893,.88147986,11.906779,.2138457,34.677376,4,4,4,6,10,14,1267,419,1586,848,848,738
AUT,AT,EU-SILC,2014,sex wealth,Male,,3,.99900764,1,.95129293,.96216822,12.295144,.22742707,37.654976,4,4,4,6,10,14,1274,140,2330,1134,1134,1196
AUT,AT,EU-SILC,2014,sex wealth,Male,,4,1,,.97578132,.97176468,12.4421,.39636835,40.523003,4,4,4,6,10,14,474,23,1521,451,451,1070
AUT,AT,EU-SILC,2014,sex wealth,Male,,5,1,,.99251622,1,12.55147,.60308951,45.189724,4,4,4,6,10,14,90,8,470,82,82,388
AUT,AT,EU-SILC,2014,sex wealth,Male,,,.95859802,.93734634,.84872162,.86585754,12.037603,.34583229,41.103184,4,4,4,6,10,14,5015,3244,2837,1771,1771,1066
AUT,AT,EU-SILC,2014,location wealth,,Cities,1,.99802703,.99500203,.84948498,.85223126,12.184422,.4065809,34.390026,4,4,4,6,10,14,980,376,1092,604,604,488
AUT,AT,EU-SILC,2014,location wealth,,Cities,2,.99861479,1,.86988366,.87173837,12.042064,.36711055,37.165462,4,4,4,6,10,14,472,78,888,394,394,494
AUT,AT,EU-SILC,2014,location wealth,,Cities,3,.998842,,.95250058,.94058233,12.656875,.49296406,38.614529,4,4,4,6,10,14,225,8,668,217,217,451
AUT,AT,EU-SILC,2014,location wealth,,Cities,4,1,,.97753161,.95718306,12.894892,.62575674,40.646187,4,4,4,6,10,14,71,9,402,62,62,340
AUT,AT,EU-SILC,2014,location wealth,,Cities,5,1,,1,,,.72961497,44.946701,4,4,4,6,10,14,32,4,184,28,28,156
AUT,AT,EU-SILC,2014,location wealth,,Cities,,.95493466,.91510218,.83581191,.85419554,11.993812,.37701693,41.257256,4,4,4,6,10,14,2674,1439,2260,1235,1235,1025
AUT,AT,EU-SILC,2014,location wealth,,Towns and suburbs,1,.99880779,1,.84555066,.82315058,11.800297,.31573001,35.800285,4,4,4,6,10,14,1433,903,953,530,530,423
AUT,AT,EU-SILC,2014,location wealth,,Towns and suburbs,2,1,1,.89239836,.90928531,12.003667,.30796617,37.686886,4,4,4,6,10,14,857,235,1184,622,622,562
AUT,AT,EU-SILC,2014,location wealth,,Towns and suburbs,3,.99841648,1,.93025535,.94027764,12.458424,.2845504,37.964352,4,4,4,6,10,14,646,60,1320,586,586,734
AUT,AT,EU-SILC,2014,location wealth,,Towns and suburbs,4,1,,.96562344,.92925763,12.256886,.4379493,41.046619,4,4,4,6,10,14,192,10,746,182,182,564
AUT,AT,EU-SILC,2014,location wealth,,Towns and suburbs,5,1,,.98653203,.96919608,12.500688,.66999471,45.883823,4,4,4,6,10,14,44,2,213,42,42,171
AUT,AT,EU-SILC,2014,location wealth,,Towns and suburbs,,.95960432,.94630754,.81757689,.84737492,11.947413,.26919833,43.229931,4,4,4,6,10,14,3301,2246,1827,1055,1055,772
AUT,AT,EU-SILC,2014,location wealth,,Rural (EU LFS),1,.99913508,.99911219,.86815256,.87041235,12.182896,.29157794,35.84848,4,4,4,6,10,14,1886,1287,1026,599,599,427
AUT,AT,EU-SILC,2014,location wealth,,Rural (EU LFS),2,1,1,.93846017,.94332278,12.294359,.21448654,37.141594,4,4,4,6,10,14,1337,376,1588,961,961,627
AUT,AT,EU-SILC,2014,location wealth,,Rural (EU LFS),3,1,1,.97970778,.99091667,12.615288,.27733862,38.092922,4,4,4,6,10,14,996,115,1754,881,881,873
AUT,AT,EU-SILC,2014,location wealth,,Rural (EU LFS),4,1,,.99175853,.98992717,12.691996,.40965173,40.64537,4,4,4,6,10,14,372,20,1027,352,352,675
AUT,AT,EU-SILC,2014,location wealth,,Rural (EU LFS),5,1,,.9908784,1,12.473122,.59180516,45.618649,4,4,4,6,10,14,48,7,243,41,41,202
AUT,AT,EU-SILC,2014,location wealth,,Rural (EU LFS),,.96931618,.95724696,.88277847,.91029149,12.447303,.29790878,44.084351,4,4,4,6,10,14,4050,2914,1927,1136,1136,791
AUT,AT,EU-SILC,2014,location sex,Female,Cities,,.97188342,.93051559,.87334812,.87392503,12.270872,.47086537,41.770645,4,4,4,6,10,14,2290,919,2843,1371,1371,1472
AUT,AT,EU-SILC,2014,location sex,Male,Cities,,.97080356,.93557888,.86967856,.85863942,11.961995,.41545817,39.061802,4,4,4,6,10,14,2164,995,2651,1169,1169,1482
AUT,AT,EU-SILC,2014,location sex,Female,Towns and suburbs,,.98470777,.97319621,.87668443,.87787801,12.101357,.36971986,43.05407,4,4,4,6,10,14,3058,1630,3101,1428,1428,1673
AUT,AT,EU-SILC,2014,location sex,Male,Towns and suburbs,,.97357112,.95620769,.88478911,.87840056,11.994717,.29094037,40.401249,4,4,4,6,10,14,3415,1826,3142,1589,1589,1553
AUT,AT,EU-SILC,2014,location sex,Female,Rural (EU LFS),,.98474604,.97081828,.9282406,.93231386,12.541663,.36239877,43.023533,4,4,4,6,10,14,4041,2240,3523,1801,1801,1722
AUT,AT,EU-SILC,2014,location sex,Male,Rural (EU LFS),,.98663074,.97511697,.93692988,.94224745,12.327305,.27565366,41.188538,4,4,4,6,10,14,4648,2479,4042,2169,2169,1873
AUT,AT,EU-SILC,2014,location sex wealth,Female,Cities,1,.99936295,1,.85712814,.85268843,12.238616,.41042525,35.508541,4,4,4,6,10,14,533,159,641,374,374,267
AUT,AT,EU-SILC,2014,location sex wealth,Female,Cities,2,1,1,.90584111,.90408003,12.312711,.47517565,38.292656,4,4,4,6,10,14,233,37,446,196,196,250
