iso_code3,country,year,country_year,survey,category,location,sex,wealth,region,ethnicity,religion,comp_prim_v2,comp_lowsec_v2,comp_upsec_v2,comp_prim_1524,comp_lowsec_1524,comp_upsec_2029,eduyears_2024,edu2_2024,edu4_2024,eduout_prim,eduout_lowsec,eduout_upsec,comp_prim_v2_no,comp_lowsec_v2_no,comp_upsec_v2_no,comp_prim_1524_no,comp_lowsec_1524_no,comp_upsec_2029_no,eduyears_2024_no,edu2_2024_no,edu4_2024_no,eduout_prim_no,eduout_lowsec_no,eduout_upsec_no,year_uis,cy,_merge
ALB,Albania,2017,Albania_2017,DHS,Sex & Wealth & Region,,Male,Quintile 5,Elbasan,,,,,,,,,,,,,,,4,5,6,21,21,18,13,13,13,5,6,6,,Albania_2017,matched (3)
ALB,Albania,2017,Albania_2017,DHS,Sex & Region,,Male,,Korce,,,95.003334,91.682281,74.187393,98.461678,84.87262,72.520622,14.139712,.66405487,1.1510013,8.4239264,.71280938,5.068099,97,92,107,336,336,348,174,174,174,117,123,106,,Albania_2017,matched (3)
ALB,Albania,2017,Albania_2017,DHS,Sex & Wealth & Region,,Male,Quintile 2,Lezhe,,,,,,96.964935,85.093315,66.897079,13.247608,2.9855108,2.9855108,,8.607851,,18,23,19,71,71,72,33,33,33,27,39,21,,Albania_2017,matched (3)
ALB,Albania,2017,Albania_2017,DHS,Sex & Wealth & Region,,Male,Quintile 5,Durres,,,,,,97.972885,97.281509,89.779465,,,,,,,7,11,13,38,38,46,22,22,22,17,14,7,,Albania_2017,matched (3)
ALB,Albania,2017,Albania_2017,DHS,Sex & Wealth & Region,,Male,Quintile 4,Durres,,,,,,95.295784,94.131203,88.033585,16.944696,0,0,,,,16,17,20,59,59,77,34,34,34,20,23,15,,Albania_2017,matched (3)
ALB,Albania,2017,Albania_2017,DHS,Sex & Wealth & Region,,Male,Quintile 5,Shkoder,,,,,,,,94.612404,,,,,,,15,6,10,29,29,31,13,13,13,14,16,11,,Albania_2017,matched (3)
ALB,Albania,2017,Albania_2017,DHS,Sex & Wealth & Region,,Male,Quintile 4,Fier,,,,,,100,98.089417,85.64978,,,,,,,5,16,11,38,38,35,14,14,14,29,7,12,,Albania_2017,matched (3)
ALB,Albania,2017,Albania_2017,DHS,Sex & Wealth & Region,,Male,Quintile 4,Gjirokaster,,,,,,98.041687,91.546005,95.959579,,,,,,,17,18,12,40,40,41,16,16,16,24,24,15,,Albania_2017,matched (3)
ALB,Albania,2017,Albania_2017,DHS,Sex & Wealth & Region,,Male,Quintile 4,Shkoder,,,,,,92.969322,91.656807,90.754707,15.829265,4.6662865,4.6662865,,,,10,21,22,66,66,68,37,37,37,16,13,13,,Albania_2017,matched (3)
ALB,Albania,2017,Albania_2017,DHS,Sex & Wealth & Region,,Male,Quintile 5,Kukes,,,,,,,,,,,,,,,0,2,0,4,4,3,1,1,1,2,2,3,,Albania_2017,matched (3)
